method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,client_avg_acc,micro_acc,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,acc,f1,num_selected_clients,cluster_sizes,num_empty_clusters,cluster_split_events,split_probe_downloads,split_probe_uploads,eps_1,eps_2,clustering_interval,min_cluster_size,split_center_init,updated_clusters
cfl,cicids2017,42,1,warmup,50,0.2,2,0.01,64,100,,20,20,0,40,0.7744815349578857,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.48679147558212277,0.4867914755821228,0.8404,0.8404,0.6261866115783778,0.6229048670007976,0.73,0.93,0.03857252908482927,10000.0,0.0,0.0,0.5,1.0,0.8404,0.6261866115783778,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,cicids2017,42,2,warmup,50,0.2,2,0.01,64,100,,40,40,0,80,1.2521743774414062,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.42148466672897344,0.4214846667289734,0.8575999999999998,0.8576,0.6858506885385183,0.6812432150015587,0.78,0.94,0.03547167884383258,10000.0,0.0,0.0,0.5,1.0,0.8576,0.6858506885385183,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,cicids2017,42,3,warmup,50,0.2,2,0.01,64,100,,60,60,0,120,1.774536371231079,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.3857903594970702,0.3857903594970703,0.867,0.867,0.7168554623350065,0.7113978439366858,0.8,0.94,0.03401470270338991,10000.0,0.0,0.0,0.5,1.0,0.867,0.7168554623350065,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,cicids2017,42,4,warmup,50,0.2,2,0.01,64,100,,80,80,0,160,2.2342264652252197,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.36225047907829294,0.36225047907829283,0.8738000000000001,0.8738,0.7385817825557239,0.7340253758945399,0.8,0.95,0.03276522546847497,10000.0,0.0,0.0,0.5,1.0,0.8738,0.7385817825557239,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,cicids2017,42,5,warmup,50,0.2,2,0.01,64,100,,100,100,0,200,2.7019028663635254,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.34435224533081055,0.34435224533081055,0.8821000000000001,0.8821,0.7613613020046399,0.7570989602522599,0.8,0.96,0.033415415604178864,10000.0,0.0,0.0,0.5,1.0,0.8821,0.7613613020046399,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,cicids2017,42,6,clustered,50,0.2,2,0.01,64,100,,220,220,0,440,3.7231032848358154,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.33077169480323787,0.3307716948032379,0.884,0.884,0.7666162021148757,0.7619569811580295,0.8,0.96,0.03274141108748981,10000.0,0.0,0.0,0.5,1.0,0.884,0.7666162021148757,20,[100],0,0,100,100,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,7,clustered,50,0.2,2,0.01,64,100,,340,340,0,680,4.7563416957855225,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.3185854996681213,0.31858549966812133,0.8852,0.8852,0.7695563180270553,0.7651912312707435,0.81,0.96,0.03248014778291503,10000.0,0.0,0.0,0.5,1.0,0.8852,0.7695563180270553,20,[100],0,0,200,200,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,8,clustered,50,0.2,2,0.01,64,100,,460,460,0,920,5.848966121673584,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.3082111797809601,0.3082111797809601,0.8860000000000001,0.886,0.7714221552083668,0.7668587716588465,0.81,0.96,0.031654383582688836,10000.0,0.0,0.0,0.5,1.0,0.886,0.7714221552083668,20,[100],0,0,300,300,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,9,clustered,50,0.2,2,0.01,64,100,,580,580,0,1160,6.967629671096802,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.2989171352863311,0.2989171352863312,0.8861,0.8861,0.7715577987149033,0.7669652206898877,0.81,0.96,0.031524434967180624,10000.0,0.0,0.0,0.5,1.0,0.8861,0.7715577987149033,20,[100],0,0,400,400,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,10,clustered,50,0.2,2,0.01,64,100,,700,700,0,1400,8.032227277755737,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.29075102252960205,0.29075102252960205,0.8863000000000001,0.8863,0.7718292895376144,0.767245548272501,0.81,0.96,0.031675069060698204,10000.0,0.0,0.0,0.5,1.0,0.8863,0.7718292895376144,20,[100],0,0,500,500,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,11,clustered,50,0.2,2,0.01,64,100,,820,820,0,1640,9.095524549484253,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.2830961585044861,0.2830961585044861,0.8859,0.8859,0.7712865795394819,0.7666829382187916,0.81,0.96,0.0314990476046499,10000.0,0.0,0.0,0.5,1.0,0.8859,0.7712865795394819,20,[100],0,0,600,600,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,12,clustered,50,0.2,2,0.01,64,100,,940,940,0,1880,10.177443027496338,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.2762027635812759,0.27620276358127593,0.8859999999999999,0.886,0.7716813767949449,0.7670026534852531,0.81,0.96,0.03140063693621517,10000.0,0.0,0.0,0.5,1.0,0.886,0.7716813767949449,20,[100],0,0,700,700,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,13,clustered,50,0.2,2,0.01,64,100,,1060,1060,0,2120,11.277568101882935,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.26976929283142087,0.2697692928314209,0.8861,0.8861,0.7718169765404813,0.7671235963849479,0.81,0.96,0.03139729287693448,10000.0,0.0,0.0,0.5,1.0,0.8861,0.7718169765404813,20,[100],0,0,800,800,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,14,clustered,50,0.2,2,0.01,64,100,,1180,1180,0,2360,12.319077491760254,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.2637040516614914,0.2637040516614914,0.8867000000000002,0.8867,0.7730189942233234,0.7683793927693148,0.81,0.96,0.031242759161124043,10000.0,0.0,0.0,0.5,1.0,0.8867,0.7730189942233234,20,[100],0,0,900,900,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,15,clustered,50,0.2,2,0.01,64,100,,1300,1300,0,2600,13.383073329925537,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.25826614372730256,0.25826614372730256,0.8870000000000001,0.887,0.7734272240223284,0.7688058496961335,0.81,0.96,0.03125699921617557,10000.0,0.0,0.0,0.5,1.0,0.887,0.7734272240223284,20,[100],0,0,1000,1000,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,16,clustered,50,0.2,2,0.01,64,100,,1420,1420,0,2840,14.436731100082397,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.25307629880905147,0.2530762988090515,0.8870000000000001,0.887,0.7735557889200086,0.7688707584492706,0.81,0.96,0.03112876483254677,10000.0,0.0,0.0,0.5,1.0,0.887,0.7735557889200086,20,[100],0,0,1100,1100,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,17,clustered,50,0.2,2,0.01,64,100,,1540,1540,0,3080,15.628897190093994,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.24845153329372405,0.24845153329372405,0.8872,0.8872,0.7735710163192668,0.7690076962200397,0.81,0.96,0.031466807909287534,10000.0,0.0,0.0,0.5,1.0,0.8872,0.7735710163192668,20,[100],0,0,1200,1200,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,18,clustered,50,0.2,2,0.01,64,100,,1660,1660,0,3320,16.734261512756348,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.2440221854925156,0.24402218549251556,0.8874000000000001,0.8874,0.773972486148488,0.7693752151065695,0.81,0.96,0.031420375554725634,10000.0,0.0,0.0,0.5,1.0,0.8874,0.773972486148488,20,[100],0,0,1300,1300,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,19,clustered,50,0.2,2,0.01,64,100,,1780,1780,0,3560,17.77400851249695,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.23975939600467683,0.23975939600467683,0.8873000000000002,0.8873,0.7739645646634732,0.7693481913650575,0.81,0.96,0.03126835460973283,10000.0,0.0,0.0,0.5,1.0,0.8873,0.7739645646634732,20,[100],0,0,1400,1400,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,20,clustered,50,0.2,2,0.01,64,100,,1900,1900,0,3800,18.778789043426514,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.23581665725708006,0.23581665725708006,0.8872000000000001,0.8872,0.7738282377851208,0.7691897556873871,0.81,0.96,0.031179480431848133,10000.0,0.0,0.0,0.5,1.0,0.8872,0.7738282377851208,20,[100],0,0,1500,1500,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,21,clustered,50,0.2,2,0.01,64,100,,2020,2020,0,4040,19.843095541000366,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.23238042044639584,0.23238042044639587,0.888,0.888,0.7750489248503534,0.7705158299792759,0.81,0.96,0.03149603149604725,10000.0,0.0,0.0,0.5,1.0,0.888,0.7750489248503534,20,[100],0,0,1600,1600,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,22,clustered,50,0.2,2,0.01,64,100,,2140,2140,0,4280,20.87689232826233,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.22888644428253177,0.22888644428253174,0.8876000000000002,0.8876,0.7739881243226179,0.7694918861018281,0.81,0.96,0.031180763300471023,10000.0,0.0,0.0,0.5,1.0,0.8876,0.7739881243226179,20,[100],0,0,1700,1700,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,23,clustered,50,0.2,2,0.01,64,100,,2260,2260,0,4520,21.951011180877686,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.22576517407894134,0.22576517407894134,0.8874000000000001,0.8874,0.7737149905338108,0.769213915048252,0.81,0.96,0.031068311830545287,10000.0,0.0,0.0,0.5,1.0,0.8874,0.7737149905338108,20,[100],0,0,1800,1800,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,24,clustered,50,0.2,2,0.01,64,100,,2380,2380,0,4760,22.949257373809814,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.22265176033973696,0.22265176033973694,0.8875000000000002,0.8875,0.7735933399492378,0.7690851018835025,0.81,0.96,0.031220986531498338,10000.0,0.0,0.0,0.5,1.0,0.8875,0.7735933399492378,20,[100],0,0,1900,1900,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,25,clustered,50,0.2,2,0.01,64,100,,2500,2500,0,5000,23.936225652694702,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.21966142251491547,0.21966142251491547,0.8875,0.8875,0.7738515230516962,0.7693946185746338,0.81,0.96,0.031188940347501394,10000.0,0.0,0.0,0.5,1.0,0.8875,0.7738515230516962,20,[100],0,0,2000,2000,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,26,clustered,50,0.2,2,0.01,64,100,,2620,2620,0,5240,25.00536870956421,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.21684396305084228,0.21684396305084228,0.8872000000000001,0.8872,0.7731838115977874,0.7686703925899485,0.81,0.96,0.03111526956335105,10000.0,0.0,0.0,0.5,1.0,0.8872,0.7731838115977874,20,[100],0,0,2100,2100,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,27,clustered,50,0.2,2,0.01,64,100,,2740,2740,0,5480,26.11033868789673,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.21425112652778627,0.21425112652778625,0.8869000000000001,0.8869,0.7721255374316445,0.7676387857140722,0.8,0.96,0.03164474679942945,10000.0,0.0,0.0,0.5,1.0,0.8869,0.7721255374316445,20,[100],0,0,2200,2200,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,28,clustered,50,0.2,2,0.01,64,100,,2860,2860,0,5720,27.18960928916931,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.21160153417587277,0.2116015341758728,0.8871000000000001,0.8871,0.7730474395781022,0.7686551862970632,0.8,0.96,0.031632103945200996,10000.0,0.0,0.0,0.5,1.0,0.8871,0.7730474395781022,20,[100],0,0,2300,2300,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,29,clustered,50,0.2,2,0.01,64,100,,2980,2980,0,5960,28.247305393218994,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.20924049677848813,0.20924049677848816,0.8876999999999999,0.8877,0.7745105568916592,0.770251304819391,0.8,0.96,0.031807389078640204,10000.0,0.0,0.0,0.5,1.0,0.8877,0.7745105568916592,20,[100],0,0,2400,2400,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,30,clustered,50,0.2,2,0.01,64,100,,3100,3100,0,6200,29.29214596748352,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.20694612081050873,0.20694612081050873,0.8879,0.8879,0.7751679476377582,0.7711247481361824,0.8,0.96,0.03204044319293976,10000.0,0.0,0.0,0.5,1.0,0.8879,0.7751679476377582,20,[100],0,0,2500,2500,0.4,1.6,1,4,parent,[0]
cfl,cicids2017,42,31,clustered,50,0.2,2,0.01,64,100,,3220,3220,0,6440,30.33863639831543,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.20472322907447815,0.20472322907447815,0.8897000000000002,0.8897,0.7800259537465379,0.7764039403211902,0.8,0.96,0.032263136859270215,10000.0,0.0,0.0,0.5,1.0,0.8897,0.7800259537465379,20,[100],0,0,2600,2600,0.4,1.6,1,4,parent,[0]
