method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,client_avg_acc,micro_acc,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,acc,f1,num_selected_clients,cluster_sizes,num_empty_clusters,cluster_split_events,split_probe_downloads,split_probe_uploads,eps_1,eps_2,clustering_interval,min_cluster_size,split_center_init,updated_clusters
cfl,cifar10,42,1,warmup,100,0.2,2,0.005,32,100,,20,20,0,40,6.520419597625732,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,2.0843593952178954,2.0843593952178954,0.2853,0.2853,0.04439430483155683,0.034318277984070514,0.0,1.0,0.3452519514789163,10000.0,0.0,0.0,0.1,1.0,0.2853,0.04439430483155683,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,cifar10,42,2,warmup,100,0.2,2,0.005,32,100,,40,40,0,80,11.925769329071045,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,2.1231924726963043,2.1231924726963043,0.185,0.185,0.05744649408917483,0.040068374810961906,0.0,0.78,0.17715812146215595,10000.0,0.0,0.0,0.1,1.0,0.185,0.05744649408917483,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,cifar10,42,3,warmup,100,0.2,2,0.005,32,100,,60,60,0,120,19.35517692565918,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,2.050934773159027,2.0509347731590273,0.19130000000000003,0.1913,0.0954467983428994,0.045433512487015194,0.0,0.79,0.18536803931638268,10000.0,0.0,0.0,0.1,1.0,0.1913,0.0954467983428994,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,cifar10,42,4,warmup,100,0.2,2,0.005,32,100,,80,80,0,160,25.577536582946777,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.9504415391206742,1.9504415391206742,0.33270000000000005,0.3327,0.11288804702842314,0.06246889705426995,0.0,0.96,0.3186560998945415,10000.0,0.0,0.0,0.1,1.0,0.3327,0.11288804702842314,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,cifar10,42,5,warmup,100,0.2,2,0.005,32,100,,100,100,0,200,31.630016565322876,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,2.002021176934242,2.0020211769342424,0.20120000000000002,0.2012,0.07393563892180774,0.04340110919048292,0.0,0.89,0.2179141115210302,10000.0,0.0,0.0,0.1,1.0,0.2012,0.07393563892180774,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,cifar10,42,6,clustered,100,0.2,2,0.005,32,100,,220,220,0,440,45.98376655578613,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.8806242728233338,1.8806242728233338,0.33149999999999996,0.3315,0.11167541704140475,0.05822267917798411,0.0,0.98,0.3080791294456669,10000.0,0.0,0.0,0.1,1.0,0.3315,0.11167541704140475,20,[100],0,0,100,100,0.4,1.6,1,4,parent,[0]
cfl,cifar10,42,7,clustered,100,0.2,2,0.005,32,100,,340,340,0,680,60.69247055053711,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.978490231704712,1.978490231704712,0.20149999999999998,0.2015,0.10158427466997108,0.054463484160677984,0.0,0.86,0.238383619403683,10000.0,0.0,0.0,0.1,1.0,0.2015,0.10158427466997108,20,[100],0,0,200,200,0.4,1.6,1,4,parent,[0]
cfl,cifar10,42,8,clustered,100,0.2,2,0.005,32,100,,460,460,0,920,75.84474158287048,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.9624517161965371,1.962451716196537,0.34940000000000004,0.3494,0.11319034259458896,0.06240610249470306,0.0,0.91,0.32458225459812184,10000.0,0.0,0.0,0.1,1.0,0.3494,0.11319034259458896,20,[100],0,0,300,300,0.4,1.6,1,4,parent,[0]
cfl,cifar10,42,9,clustered,100,0.2,2,0.005,32,100,,580,580,0,1160,90.08574032783508,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.850352526330948,1.850352526330948,0.3631,0.3631,0.17309977640018376,0.08654449996028538,0.0,0.95,0.24336678080625548,10000.0,0.0,0.0,0.1,1.0,0.3631,0.17309977640018376,20,[100],0,0,400,400,0.4,1.6,1,4,parent,[0]
cfl,cifar10,42,10,clustered,100,0.2,2,0.005,32,100,,700,700,0,1400,104.64735054969788,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.7764540103435515,1.7764540103435515,0.33309999999999995,0.3331,0.1874601990673311,0.09141458424267622,0.0,0.71,0.1786823718221806,10000.0,0.0,0.0,0.1,1.0,0.3331,0.1874601990673311,20,[100],0,0,500,500,0.4,1.6,1,4,parent,[0]
