method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,client_avg_acc,micro_acc,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,num_selected_clients,cluster_sizes,num_empty_clusters,cluster_split_events,split_probe_downloads,split_probe_uploads,eps_1,eps_2,clustering_interval,min_cluster_size,split_center_init,updated_clusters
cfl,fashionmnist,42,1,warmup,30,0.2,1,0.02,64,100,,20,20,0,40,4.4349751472473145,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,2.2443486419677736,2.2443486419677736,0.2919,0.2919,0.20920657276489543,0.16340940935674117,0.03,0.63,0.23254545792167175,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,fashionmnist,42,2,warmup,30,0.2,1,0.02,64,100,,40,40,0,80,6.932229280471802,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,2.1614260910034178,2.1614260910034178,0.1366,0.1366,0.03978692748142713,0.030001280057285414,0.0,0.55,0.2021594420253479,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,fashionmnist,42,3,warmup,30,0.2,1,0.02,64,100,,60,60,0,120,17.370357990264893,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,2.0986241779327397,2.0986241779327393,0.3778,0.3778,0.26658474840266433,0.2099203348011776,0.03,0.85,0.24672892007221203,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,fashionmnist,42,4,warmup,30,0.2,1,0.02,64,100,,80,80,0,160,30.837761640548706,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,1.8309530643463137,1.8309530643463134,0.4850000000000001,0.485,0.3955084207632723,0.3118324446839433,0.19,0.88,0.21276512872179026,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,fashionmnist,42,5,warmup,30,0.2,1,0.02,64,100,,100,100,0,200,47.0975341796875,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,1.7174681987762452,1.717468198776245,0.4449,0.4449,0.3715713879070513,0.2882315026367169,0.06,0.84,0.2680205029470693,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,fashionmnist,42,6,clustered,30,0.2,1,0.02,64,100,,220,220,0,440,86.62322306632996,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,1.3668359184265138,1.3668359184265138,0.6056,0.6056,0.5386660518517423,0.4278093160396519,0.29,0.86,0.15687141230957283,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,100,100,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,7,clustered,30,0.2,1,0.02,64,100,,340,340,0,680,122.68435788154602,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,1.2343338848114014,1.2343338848114014,0.5894999999999999,0.5895,0.5024956521739808,0.3870156900459708,0.1,0.88,0.2647390224353033,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,200,200,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,8,clustered,30,0.2,1,0.02,64,100,,460,460,0,920,162.8672342300415,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,1.2322112562179566,1.2322112562179566,0.5665,0.5665,0.502258570145034,0.41507913651693995,0.37,0.86,0.12875849486538743,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,300,300,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,9,clustered,30,0.2,1,0.02,64,100,,580,580,0,1160,201.97035598754883,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,1.3784936445236207,1.3784936445236207,0.5856999999999999,0.5857,0.4951473514658292,0.38657846966025006,0.1,0.87,0.2725518482784514,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,400,400,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,10,clustered,30,0.2,1,0.02,64,100,,700,700,0,1400,231.75290727615356,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,1.3713952266693115,1.3713952266693115,0.5415000000000001,0.5415,0.48540610399158285,0.40653080088196114,0.26,0.84,0.15655270677953798,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,500,500,0.4,1.6,1,4,parent,[0]
cfl,fashionmnist,42,11,clustered,30,0.2,1,0.02,64,100,,820,820,0,1640,263.6881010532379,splits\fashionmnist\label_group_major0.85_clients100_seed42.json,1.073615000152588,1.073615000152588,0.621,0.621,0.5353519718376631,0.40638613307184,0.15,0.86,0.24314399026091515,10000.0,0.0,0.0,0.25,1.0,20,[100],0,0,600,600,0.4,1.6,1,4,parent,[0]
