method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,client_avg_acc,micro_acc,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,acc,f1,num_selected_clients,cluster_sizes,num_empty_clusters,cluster_split_events,split_probe_downloads,split_probe_uploads,eps_1,eps_2,clustering_interval,min_cluster_size,split_center_init,updated_clusters
cfl,unsw_nb15,42,1,warmup,50,0.2,2,0.01,64,100,,20,20,0,40,0.8346161842346191,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.5737741556167603,0.5737741556167603,0.9102000000000002,0.9102,0.9101899089381683,0.8513420740233141,0.85,0.96,0.025611716069018096,10000.0,0.0,0.0,0.5,1.0,0.9102,0.9101899089381683,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,unsw_nb15,42,2,warmup,50,0.2,2,0.01,64,100,,40,40,0,80,2.771563768386841,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.45925952701568606,0.459259527015686,0.9422999999999999,0.9423,0.9422823239617133,0.9005123293928503,0.88,0.99,0.026032863845531842,10000.0,0.0,0.0,0.5,1.0,0.9423,0.9422823239617133,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,unsw_nb15,42,3,warmup,50,0.2,2,0.01,64,100,,60,60,0,120,6.656155347824097,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.3649466606140137,0.36494666061401365,0.9551000000000001,0.9551,0.9550614206790388,0.9226251996290726,0.88,1.0,0.030149461023374846,10000.0,0.0,0.0,0.5,1.0,0.9551,0.9550614206790388,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,unsw_nb15,42,4,warmup,50,0.2,2,0.01,64,100,,80,80,0,160,10.046213626861572,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.28899797892570495,0.28899797892570495,0.9587,0.9587,0.9586794517045382,0.9277962986704058,0.9,1.0,0.026292774672902048,10000.0,0.0,0.0,0.5,1.0,0.9587,0.9586794517045382,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,unsw_nb15,42,5,warmup,50,0.2,2,0.01,64,100,,100,100,0,200,13.832706689834595,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.23230559949874877,0.23230559949874877,0.9686999999999999,0.9687,0.9686827050238493,0.9449947746547636,0.91,1.0,0.02587102626491651,10000.0,0.0,0.0,0.5,1.0,0.9687,0.9686827050238493,20,[100],0,0,0,0,0.4,1.6,,,,
cfl,unsw_nb15,42,6,clustered,50,0.2,2,0.01,64,100,,220,220,0,440,22.131455421447754,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.19203965349197386,0.19203965349197388,0.9736000000000002,0.9736,0.9735834896810507,0.9538887295278762,0.9,1.0,0.025749563103089727,10000.0,0.0,0.0,0.5,1.0,0.9736,0.9735834896810507,20,[100],0,0,100,100,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,7,clustered,50,0.2,2,0.01,64,100,,340,340,0,680,30.667261123657227,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.15683085889816284,0.15683085889816284,0.9818000000000001,0.9818,0.9817949834256328,0.9672762806809925,0.93,1.0,0.01925512918679074,10000.0,0.0,0.0,0.5,1.0,0.9818,0.9817949834256328,20,[100],0,0,200,200,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,8,clustered,50,0.2,2,0.01,64,100,,460,460,0,920,38.82231569290161,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.13132099647521972,0.13132099647521972,0.9861999999999999,0.9862,0.9861979457022383,0.9746978757139582,0.95,1.0,0.014951922953252548,10000.0,0.0,0.0,0.5,1.0,0.9862,0.9861979457022383,20,[100],0,0,300,300,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,9,clustered,50,0.2,2,0.01,64,100,,580,580,0,1160,47.47350525856018,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.11133179254531861,0.11133179254531861,0.99,0.99,0.9899991899343847,0.9814869377388905,0.95,1.0,0.012409673645990866,10000.0,0.0,0.0,0.5,1.0,0.99,0.9899991899343847,20,[100],0,0,400,400,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,10,clustered,50,0.2,2,0.01,64,100,,700,700,0,1400,56.891361236572266,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.0954320927143097,0.09543209271430969,0.9926999999999999,0.9927,0.9926997102514998,0.9862959222412708,0.97,1.0,0.009783148777362029,10000.0,0.0,0.0,0.5,1.0,0.9927,0.9926997102514998,20,[100],0,0,500,500,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,11,clustered,50,0.2,2,0.01,64,100,,820,820,0,1640,66.57671070098877,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.08237318172454834,0.08237318172454834,0.9950999999999999,0.9951,0.9950999007729906,0.9907779722360358,0.97,1.0,0.008061637550770943,10000.0,0.0,0.0,0.5,1.0,0.9951,0.9950999007729906,20,[100],0,0,600,600,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,12,clustered,50,0.2,2,0.01,64,100,,940,940,0,1880,75.89894676208496,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.07201567161083221,0.07201567161083221,0.9965,0.9965,0.9964999663646767,0.993364653790126,0.97,1.0,0.006538348415311016,10000.0,0.0,0.0,0.5,1.0,0.9965,0.9964999663646767,20,[100],0,0,700,700,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,13,clustered,50,0.2,2,0.01,64,100,,1060,1060,0,2120,84.83363938331604,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.06335553541183472,0.06335553541183472,0.9978000000000001,0.9978,0.9977999911999649,0.995799000138064,0.98,1.0,0.00481248376620639,10000.0,0.0,0.0,0.5,1.0,0.9978,0.9977999911999649,20,[100],0,0,800,800,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,14,clustered,50,0.2,2,0.01,64,100,,1180,1180,0,2360,93.6769483089447,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.05653668109178543,0.05653668109178543,0.9984000000000001,0.9984,0.9983999968639938,0.9969345284331765,0.98,1.0,0.004176122603564224,10000.0,0.0,0.0,0.5,1.0,0.9984,0.9983999968639938,20,[100],0,0,900,900,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,15,clustered,50,0.2,2,0.01,64,100,,1300,1300,0,2600,103.07820701599121,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.05078693127632141,0.05078693127632141,0.9991000000000001,0.9991,0.9990999995589998,0.9982810659029075,0.98,1.0,0.0031921779399024758,10000.0,0.0,0.0,0.5,1.0,0.9991,0.9990999995589998,20,[100],0,0,1000,1000,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,16,clustered,50,0.2,2,0.01,64,100,,1420,1420,0,2840,112.84908127784729,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.04589977738261222,0.04589977738261223,0.9991000000000001,0.9991,0.9990999995589998,0.9982810659029075,0.98,1.0,0.0031921779399024758,10000.0,0.0,0.0,0.5,1.0,0.9991,0.9990999995589998,20,[100],0,0,1100,1100,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,17,clustered,50,0.2,2,0.01,64,100,,1540,1540,0,3080,121.94474744796753,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.04186360420584679,0.04186360420584679,0.9992,0.9992,0.9991999997119999,0.9984719420243047,0.98,1.0,0.0030594117081556736,10000.0,0.0,0.0,0.5,1.0,0.9992,0.9991999997119999,20,[100],0,0,1200,1200,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,18,clustered,50,0.2,2,0.01,64,100,,1660,1660,0,3320,131.79448008537292,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.03841997225284576,0.03841997225284576,0.9995999999999999,0.9996,0.999599999984,0.999225718076623,0.99,1.0,0.0019595917942265445,10000.0,0.0,0.0,0.5,1.0,0.9996,0.999599999984,20,[100],0,0,1300,1300,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,19,clustered,50,0.2,2,0.01,64,100,,1780,1780,0,3560,140.56059765815735,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.035380112689733505,0.035380112689733505,0.9997,0.9997,0.999699999973,0.9994273716358083,0.99,1.0,0.0017058722109231995,10000.0,0.0,0.0,0.5,1.0,0.9997,0.999699999973,20,[100],0,0,1400,1400,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,20,clustered,50,0.2,2,0.01,64,100,,1900,1900,0,3800,147.71792244911194,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.032833490890264515,0.03283349089026451,0.9997,0.9997,0.999699999973,0.9994273716358083,0.99,1.0,0.0017058722109231995,10000.0,0.0,0.0,0.5,1.0,0.9997,0.999699999973,20,[100],0,0,1500,1500,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,21,clustered,50,0.2,2,0.01,64,100,,2020,2020,0,4040,148.84909558296204,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.030513960197567934,0.03051396019756794,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,1600,1600,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,22,clustered,50,0.2,2,0.01,64,100,,2140,2140,0,4280,149.9844617843628,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.028583373081684113,0.028583373081684113,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,1700,1700,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,23,clustered,50,0.2,2,0.01,64,100,,2260,2260,0,4520,151.11747884750366,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.026836532631516453,0.026836532631516457,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,1800,1800,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,24,clustered,50,0.2,2,0.01,64,100,,2380,2380,0,4760,152.23272323608398,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.025301484006643293,0.025301484006643296,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,1900,1900,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,25,clustered,50,0.2,2,0.01,64,100,,2500,2500,0,5000,153.33474707603455,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.023950613838434224,0.02395061383843422,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,2000,2000,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,26,clustered,50,0.2,2,0.01,64,100,,2620,2620,0,5240,154.46130347251892,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.02272970643043518,0.02272970643043518,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,2100,2100,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,27,clustered,50,0.2,2,0.01,64,100,,2740,2740,0,5480,155.56965136528015,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.021608519142866132,0.021608519142866135,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,2200,2200,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,28,clustered,50,0.2,2,0.01,64,100,,2860,2860,0,5720,156.6244215965271,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.02061469913125038,0.020614699131250382,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,2300,2300,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,29,clustered,50,0.2,2,0.01,64,100,,2980,2980,0,5960,157.6033754348755,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.01972360344529152,0.019723603445291518,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,2400,2400,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,30,clustered,50,0.2,2,0.01,64,100,,3100,3100,0,6200,158.6726417541504,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.018937859381735325,0.018937859381735325,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,2500,2500,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,31,clustered,50,0.2,2,0.01,64,100,,3220,3220,0,6440,159.73126363754272,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.0181968511775136,0.0181968511775136,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,2600,2600,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,32,clustered,50,0.2,2,0.01,64,100,,3340,3340,0,6680,160.76254725456238,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.017540895411372187,0.017540895411372184,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,2700,2700,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,33,clustered,50,0.2,2,0.01,64,100,,3460,3460,0,6920,161.77848887443542,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.016932358585298058,0.01693235858529806,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,2800,2800,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,34,clustered,50,0.2,2,0.01,64,100,,3580,3580,0,7160,162.80010342597961,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.016383851103484632,0.016383851103484632,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,2900,2900,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,35,clustered,50,0.2,2,0.01,64,100,,3700,3700,0,7400,163.84448766708374,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.01587339637279511,0.015873396372795105,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,3000,3000,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,36,clustered,50,0.2,2,0.01,64,100,,3820,3820,0,7640,164.9415144920349,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.015391265864670276,0.015391265864670276,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,3100,3100,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,37,clustered,50,0.2,2,0.01,64,100,,3940,3940,0,7880,165.97553420066833,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.014957299456000328,0.014957299456000328,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,3200,3200,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,38,clustered,50,0.2,2,0.01,64,100,,4060,4060,0,8120,167.02344846725464,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.01454803562164307,0.014548035621643066,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,3300,3300,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,39,clustered,50,0.2,2,0.01,64,100,,4180,4180,0,8360,168.04897022247314,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.014171008113026618,0.014171008113026618,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,3400,3400,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,40,clustered,50,0.2,2,0.01,64,100,,4300,4300,0,8600,169.07251024246216,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.0138206180870533,0.013820618087053298,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,3500,3500,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,41,clustered,50,0.2,2,0.01,64,100,,4420,4420,0,8840,170.19340300559998,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.01348611573278904,0.01348611573278904,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,3600,3600,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,42,clustered,50,0.2,2,0.01,64,100,,4540,4540,0,9080,171.2785201072693,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.013176054108142854,0.013176054108142854,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,3700,3700,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,43,clustered,50,0.2,2,0.01,64,100,,4660,4660,0,9320,172.33599424362183,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.012888024060428143,0.012888024060428143,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,3800,3800,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,44,clustered,50,0.2,2,0.01,64,100,,4780,4780,0,9560,173.37485361099243,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.012625078788399698,0.012625078788399696,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,3900,3900,0.4,1.6,1,4,parent,[0]
cfl,unsw_nb15,42,45,clustered,50,0.2,2,0.01,64,100,,4900,4900,0,9800,174.46862649917603,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.012381162305176259,0.012381162305176259,0.9999000000000001,0.9999,0.9998999999989999,0.9998091238786029,0.99,1.0,0.000994987437106621,10000.0,0.0,0.0,0.5,1.0,0.9999,0.9998999999989999,20,[100],0,0,4000,4000,0.4,1.6,1,4,parent,[0]
