method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,client_avg_acc,micro_acc,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,acc,f1,num_selected_clients
fedavg,cicids2017,42,1,train,50,0.2,2,0.01,64,100,1,20,20,0,40,0.7452893257141113,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.48679147558212277,0.4867914755821228,0.8404,0.8404,0.6261866115783778,0.6229048670007976,0.73,0.93,0.03857252908482927,10000.0,0.0,0.0,0.5,1.0,0.8404,0.6261866115783778,20
fedavg,cicids2017,42,2,train,50,0.2,2,0.01,64,100,1,40,40,0,80,1.205596685409546,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.42148466672897344,0.4214846667289734,0.8575999999999998,0.8576,0.6858506885385183,0.6812432150015587,0.78,0.94,0.03547167884383258,10000.0,0.0,0.0,0.5,1.0,0.8576,0.6858506885385183,20
fedavg,cicids2017,42,3,train,50,0.2,2,0.01,64,100,1,60,60,0,120,1.7171754837036133,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.3857903594970702,0.3857903594970703,0.867,0.867,0.7168554623350065,0.7113978439366858,0.8,0.94,0.03401470270338991,10000.0,0.0,0.0,0.5,1.0,0.867,0.7168554623350065,20
fedavg,cicids2017,42,4,train,50,0.2,2,0.01,64,100,1,80,80,0,160,2.203187942504883,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.36225047907829294,0.36225047907829283,0.8738000000000001,0.8738,0.7385817825557239,0.7340253758945399,0.8,0.95,0.03276522546847497,10000.0,0.0,0.0,0.5,1.0,0.8738,0.7385817825557239,20
fedavg,cicids2017,42,5,train,50,0.2,2,0.01,64,100,1,100,100,0,200,2.6841869354248047,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.34435224533081055,0.34435224533081055,0.8821000000000001,0.8821,0.7613613020046399,0.7570989602522599,0.8,0.96,0.033415415604178864,10000.0,0.0,0.0,0.5,1.0,0.8821,0.7613613020046399,20
fedavg,cicids2017,42,6,train,50,0.2,2,0.01,64,100,1,120,120,0,240,3.173362970352173,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.33078096823692327,0.3307809682369232,0.884,0.884,0.7666162021148757,0.7619569811580295,0.8,0.96,0.03274141108748981,10000.0,0.0,0.0,0.5,1.0,0.884,0.7666162021148757,20
fedavg,cicids2017,42,7,train,50,0.2,2,0.01,64,100,1,140,140,0,280,3.6680893898010254,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.3185483709812164,0.3185483709812164,0.8853,0.8853,0.7698225110814808,0.7653902648648532,0.81,0.96,0.032355988626527867,10000.0,0.0,0.0,0.5,1.0,0.8853,0.7698225110814808,20
fedavg,cicids2017,42,8,train,50,0.2,2,0.01,64,100,1,160,160,0,320,4.1464996337890625,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.30815753889083863,0.30815753889083863,0.8860000000000001,0.886,0.7714221552083668,0.7668587716588465,0.81,0.96,0.031654383582688836,10000.0,0.0,0.0,0.5,1.0,0.886,0.7714221552083668,20
fedavg,cicids2017,42,9,train,50,0.2,2,0.01,64,100,1,180,180,0,360,4.617359161376953,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.2988611873149872,0.2988611873149872,0.8861,0.8861,0.7715577987149033,0.7669652206898877,0.81,0.96,0.031524434967180624,10000.0,0.0,0.0,0.5,1.0,0.8861,0.7715577987149033,20
fedavg,cicids2017,42,10,train,50,0.2,2,0.01,64,100,1,200,200,0,400,5.0794477462768555,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.2906478948116303,0.2906478948116302,0.8862000000000002,0.8862,0.7716935101332372,0.7670871125948309,0.81,0.96,0.031584173251804466,10000.0,0.0,0.0,0.5,1.0,0.8862,0.7716935101332372,20
fedavg,cicids2017,42,11,train,50,0.2,2,0.01,64,100,1,220,220,0,440,5.541330099105835,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.28303109846115115,0.2830310984611511,0.8861,0.8861,0.7715577987149033,0.7669632658014048,0.81,0.96,0.031651066332747786,10000.0,0.0,0.0,0.5,1.0,0.8861,0.7715577987149033,20
fedavg,cicids2017,42,12,train,50,0.2,2,0.01,64,100,1,240,240,0,480,6.0055928230285645,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.27606128714084627,0.27606128714084627,0.8863000000000001,0.8863,0.7720883794359253,0.767450839175827,0.81,0.96,0.031643482741316585,10000.0,0.0,0.0,0.5,1.0,0.8863,0.7720883794359253,20
fedavg,cicids2017,42,13,train,50,0.2,2,0.01,64,100,1,260,260,0,520,6.462693214416504,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.2696324046850205,0.2696324046850204,0.8864000000000002,0.8864,0.7722241827339514,0.7675717820755217,0.81,0.96,0.031639216172339044,10000.0,0.0,0.0,0.5,1.0,0.8864,0.7722241827339514,20
fedavg,cicids2017,42,14,train,50,0.2,2,0.01,64,100,1,280,280,0,560,6.913375377655029,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.2635522875785828,0.2635522875785828,0.8869000000000001,0.8869,0.7732910792805907,0.7686820029027075,0.81,0.96,0.031327144778929346,10000.0,0.0,0.0,0.5,1.0,0.8869,0.7732910792805907,20
fedavg,cicids2017,42,15,train,50,0.2,2,0.01,64,100,1,300,300,0,600,7.3771913051605225,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.258119621181488,0.258119621181488,0.8869000000000001,0.8869,0.7731623093472832,0.7685323444950126,0.81,0.96,0.0312632371964261,10000.0,0.0,0.0,0.5,1.0,0.8869,0.7731623093472832,20
fedavg,cicids2017,42,16,train,50,0.2,2,0.01,64,100,1,320,320,0,640,7.833247900009155,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.25292899677753444,0.2529289967775345,0.8873000000000001,0.8873,0.7739645646634732,0.7693318042603337,0.81,0.96,0.03130031948718735,10000.0,0.0,0.0,0.5,1.0,0.8873,0.7739645646634732,20
fedavg,cicids2017,42,17,train,50,0.2,2,0.01,64,100,1,340,340,0,680,8.325261116027832,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.24822624390125278,0.24822624390125275,0.8872,0.8872,0.7735710163192668,0.7690076962200397,0.81,0.96,0.031466807909287534,10000.0,0.0,0.0,0.5,1.0,0.8872,0.7735710163192668,20
fedavg,cicids2017,42,18,train,50,0.2,2,0.01,64,100,1,360,360,0,720,8.800459861755371,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.24381909768581386,0.2438190976858139,0.8874000000000001,0.8874,0.773972486148488,0.7693752151065695,0.81,0.96,0.031420375554725634,10000.0,0.0,0.0,0.5,1.0,0.8874,0.773972486148488,20
fedavg,cicids2017,42,19,train,50,0.2,2,0.01,64,100,1,380,380,0,760,9.26275086402893,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.23957576963901522,0.2395757696390152,0.8873000000000002,0.8873,0.7739645646634732,0.7693481913650575,0.81,0.96,0.03126835460973283,10000.0,0.0,0.0,0.5,1.0,0.8873,0.7739645646634732,20
fedavg,cicids2017,42,20,train,50,0.2,2,0.01,64,100,1,400,400,0,800,9.709385395050049,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.2356013214349747,0.23560132143497467,0.8873000000000002,0.8873,0.7739645646634732,0.7693481913650575,0.81,0.96,0.03126835460973283,10000.0,0.0,0.0,0.5,1.0,0.8873,0.7739645646634732,20
fedavg,cicids2017,42,21,train,50,0.2,2,0.01,64,100,1,420,420,0,840,10.165040493011475,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.23216972029209137,0.23216972029209137,0.8881,0.8881,0.775313724988216,0.7707571487720106,0.81,0.96,0.03139092225469014,10000.0,0.0,0.0,0.5,1.0,0.8881,0.775313724988216,20
fedavg,cicids2017,42,22,train,50,0.2,2,0.01,64,100,1,440,440,0,880,10.616295099258423,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.22867381701469422,0.22867381701469422,0.8874000000000001,0.8874,0.7737149905338108,0.769213915048252,0.81,0.96,0.031068311830545287,10000.0,0.0,0.0,0.5,1.0,0.8874,0.7737149905338108,20
fedavg,cicids2017,42,23,train,50,0.2,2,0.01,64,100,1,460,460,0,920,11.060458660125732,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.2255125675678253,0.2255125675678253,0.8874000000000001,0.8874,0.7737149905338108,0.769213915048252,0.81,0.96,0.031068311830545287,10000.0,0.0,0.0,0.5,1.0,0.8874,0.7737149905338108,20
fedavg,cicids2017,42,24,train,50,0.2,2,0.01,64,100,1,480,480,0,960,11.504228830337524,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.22240952670574185,0.22240952670574188,0.8873000000000001,0.8873,0.7733202522826922,0.7688071308299265,0.81,0.96,0.031108037546589154,10000.0,0.0,0.0,0.5,1.0,0.8873,0.7733202522826922,20
fedavg,cicids2017,42,25,train,50,0.2,2,0.01,64,100,1,500,500,0,1000,11.957962274551392,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.21952718691825862,0.21952718691825868,0.8874000000000001,0.8874,0.7737149905338108,0.769213915048252,0.81,0.96,0.031068311830545287,10000.0,0.0,0.0,0.5,1.0,0.8874,0.7737149905338108,20
