method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,client_avg_acc,micro_acc,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,num_selected_clients
fedavg,cifar10,42,10,train,200,0.2,2,0.005,32,100,1,200,200,0,400,41.27483677864075,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.754232396888733,1.754232396888733,0.3697000000000001,0.3697,0.21185684006372255,0.1004910578602691,0.01,0.66,0.17293614428453064,10000.0,0.0,0.0,0.1,1.0,20
fedavg,cifar10,42,20,train,200,0.2,2,0.005,32,100,1,400,400,0,800,70.38470196723938,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.6400543183863163,1.6400543183863163,0.43940000000000007,0.4394,0.2193899455102099,0.09646198168107442,0.0,0.93,0.28952657909076324,10000.0,0.0,0.0,0.1,1.0,20
fedavg,cifar10,42,30,train,200,0.2,2,0.005,32,100,1,600,600,0,1200,99.55358338356018,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.7208887388601897,1.72088873886019,0.4259000000000001,0.4259,0.2112516542134873,0.10250462517877601,0.0,0.91,0.2945983536953321,10000.0,0.0,0.0,0.1,1.0,20
fedavg,cifar10,42,40,train,200,0.2,2,0.005,32,100,1,800,800,0,1600,129.33487057685852,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.6214557927612216,1.6214557927612214,0.4352,0.4352,0.27955081674468063,0.11528287465222674,0.04,0.99,0.29900327757400924,10000.0,0.0,0.0,0.1,1.0,20
fedavg,cifar10,42,50,train,200,0.2,2,0.005,32,100,1,1000,1000,0,2000,163.1555151939392,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.3387967114388943,1.3387967114388943,0.5154,0.5154,0.3305233024861114,0.14322292010121054,0.09,0.97,0.23650970381783493,10000.0,0.0,0.0,0.1,1.0,20
fedavg,cifar10,42,60,train,200,0.2,2,0.005,32,100,1,1200,1200,0,2400,198.57446885108948,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.360327366703749,1.3603273667037488,0.5047999999999999,0.5048,0.3319612201147567,0.1242394963473182,0.04,0.96,0.24440736486448192,10000.0,0.0,0.0,0.1,1.0,20
fedavg,cifar10,42,70,train,200,0.2,2,0.005,32,100,1,1400,1400,0,2800,236.35476994514465,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.283222084325552,1.283222084325552,0.5393,0.5393,0.3810914707929666,0.14595685408953066,0.1,0.9,0.200774774311914,10000.0,0.0,0.0,0.1,1.0,20
fedavg,cifar10,42,80,train,200,0.2,2,0.005,32,100,1,1600,1600,0,3200,267.22006940841675,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.2723625589847567,1.2723625589847565,0.5343000000000001,0.5343,0.4063881472054412,0.15350892172347724,0.23,0.83,0.17136659534460036,10000.0,0.0,0.0,0.1,1.0,20
fedavg,cifar10,42,90,train,200,0.2,2,0.005,32,100,1,1800,1800,0,3600,296.78765058517456,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.362261223611608,1.362261223611608,0.5142,0.5142,0.33352065748326615,0.13145276708249135,0.06,0.99,0.2875106258905921,10000.0,0.0,0.0,0.1,1.0,20
fedavg,cifar10,42,100,train,200,0.2,2,0.005,32,100,1,2000,2000,0,4000,326.17311120033264,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.1267142099037768,1.1267142099037766,0.5904,0.5904,0.4249596147746484,0.15304384543274113,0.16,0.96,0.2015535660810793,10000.0,0.0,0.0,0.1,1.0,20
