method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,client_avg_acc,micro_acc,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,acc,f1,num_selected_clients
fedavg,fashionmnist,42,1,train,100,0.2,2,0.01,64,100,1,20,20,0,40,6.255853176116943,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,1.6967204597473144,1.6967204597473144,0.3646000000000001,0.3646,0.05343690458742488,0.04415209524472357,0.0,0.99,0.34737996487995676,10000.0,0.0,0.0,0.25,1.0,0.3646,0.05343690458742488,20
fedavg,fashionmnist,42,2,train,100,0.2,2,0.01,64,100,1,40,40,0,80,18.827234745025635,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,1.8267497999191284,1.8267497999191284,0.2723,0.2723,0.04280437003851293,0.03220195300298669,0.0,1.0,0.3575020419522104,10000.0,0.0,0.0,0.25,1.0,0.2723,0.04280437003851293,20
fedavg,fashionmnist,42,3,train,100,0.2,2,0.01,64,100,1,60,60,0,120,25.031322479248047,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,1.8527699894428253,1.8527699894428253,0.3648000000000001,0.3648,0.053706004759259476,0.04440570326453883,0.0,0.99,0.3473945307571782,10000.0,0.0,0.0,0.25,1.0,0.3648,0.053706004759259476,20
fedavg,fashionmnist,42,4,train,100,0.2,2,0.01,64,100,1,80,80,0,160,31.132848978042603,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,1.2646497957229617,1.2646497957229614,0.5896999999999999,0.5897,0.1483427125832941,0.10638326139661004,0.07,1.0,0.2552937719569359,10000.0,0.0,0.0,0.25,1.0,0.5897,0.1483427125832941,20
fedavg,fashionmnist,42,5,train,100,0.2,2,0.01,64,100,1,100,100,0,200,37.26452970504761,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,1.2074311299920082,1.2074311299920082,0.5180999999999999,0.5181,0.149102714591793,0.09955432987985241,0.11,0.98,0.2693870635349812,10000.0,0.0,0.0,0.25,1.0,0.5181,0.149102714591793,20
fedavg,fashionmnist,42,6,train,100,0.2,2,0.01,64,100,1,120,120,0,240,43.32979083061218,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,1.0962224234580993,1.0962224234580993,0.6018,0.6018,0.1521724758277438,0.10693759261937924,0.07,0.99,0.2565048927408598,10000.0,0.0,0.0,0.25,1.0,0.6018,0.1521724758277438,20
fedavg,fashionmnist,42,7,train,100,0.2,2,0.01,64,100,1,140,140,0,280,49.315678119659424,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,1.0519379743695259,1.0519379743695259,0.5910000000000001,0.591,0.2809915776526752,0.16079923163265655,0.03,0.98,0.3076995287614201,10000.0,0.0,0.0,0.25,1.0,0.591,0.2809915776526752,20
fedavg,fashionmnist,42,8,train,100,0.2,2,0.01,64,100,1,160,160,0,320,55.37054705619812,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,1.1674097333431244,1.1674097333431244,0.6406000000000001,0.6406,0.24193199670992094,0.13652534903199998,0.07,1.0,0.2431823184361889,10000.0,0.0,0.0,0.25,1.0,0.6406,0.24193199670992094,20
fedavg,fashionmnist,42,9,train,100,0.2,2,0.01,64,100,1,180,180,0,360,61.43154954910278,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,1.1087703500390054,1.1087703500390054,0.5995000000000001,0.5995,0.35136577967933996,0.17794226209611755,0.0,0.99,0.323080098427619,10000.0,0.0,0.0,0.25,1.0,0.5995,0.35136577967933996,20
fedavg,fashionmnist,42,10,train,100,0.2,2,0.01,64,100,1,200,200,0,400,67.50465798377991,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.8221332087397575,0.8221332087397576,0.6958,0.6958,0.4195762136630101,0.2112126124419863,0.36,0.97,0.1724887242691533,10000.0,0.0,0.0,0.25,1.0,0.6958,0.4195762136630101,20
fedavg,fashionmnist,42,11,train,100,0.2,2,0.01,64,100,1,220,220,0,440,73.52955627441406,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.8133661509513854,0.8133661509513855,0.6726000000000001,0.6726,0.3782242387587841,0.1942532251423556,0.15,0.99,0.22888695899941527,10000.0,0.0,0.0,0.25,1.0,0.6726,0.3782242387587841,20
fedavg,fashionmnist,42,12,train,100,0.2,2,0.01,64,100,1,240,240,0,480,79.50961256027222,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.8726257151842118,0.8726257151842117,0.6541000000000001,0.6541,0.40339516136926445,0.20750445987818938,0.14,0.99,0.26815329570974883,10000.0,0.0,0.0,0.25,1.0,0.6541,0.40339516136926445,20
fedavg,fashionmnist,42,13,train,100,0.2,2,0.01,64,100,1,260,260,0,520,85.52876949310303,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.7479253263235093,0.7479253263235092,0.6936,0.6936,0.401572966067651,0.20613717875614654,0.19,0.99,0.20822353373238098,10000.0,0.0,0.0,0.25,1.0,0.6936,0.401572966067651,20
fedavg,fashionmnist,42,14,train,100,0.2,2,0.01,64,100,1,280,280,0,560,91.56643986701965,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.7519832293748856,0.7519832293748856,0.6950999999999999,0.6951,0.3633480986169567,0.17374349427206415,0.16,0.97,0.2129765010511723,10000.0,0.0,0.0,0.25,1.0,0.6951,0.3633480986169567,20
fedavg,fashionmnist,42,15,train,100,0.2,2,0.01,64,100,1,300,300,0,600,97.68876028060913,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.8853525720000267,0.8853525720000267,0.6419,0.6419,0.3850166830738358,0.20478772802351533,0.08,1.0,0.2949328567657391,10000.0,0.0,0.0,0.25,1.0,0.6419,0.3850166830738358,20
fedavg,fashionmnist,42,16,train,100,0.2,2,0.01,64,100,1,320,320,0,640,103.80366945266724,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.6915883118152617,0.6915883118152618,0.733,0.733,0.4461849606042959,0.2275360731208054,0.36,0.97,0.1463933058578841,10000.0,0.0,0.0,0.25,1.0,0.733,0.4461849606042959,20
