method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,client_avg_acc,micro_acc,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,acc,f1,num_selected_clients
fedavg,unsw_nb15,42,1,train,50,0.2,2,0.01,64,100,1,20,20,0,40,0.8186080455780029,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.5737741556167603,0.5737741556167603,0.9102000000000002,0.9102,0.9101899089381683,0.8513420740233141,0.85,0.96,0.025611716069018096,10000.0,0.0,0.0,0.5,1.0,0.9102,0.9101899089381683,20
fedavg,unsw_nb15,42,2,train,50,0.2,2,0.01,64,100,1,40,40,0,80,1.3254444599151611,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.45925952701568606,0.459259527015686,0.9422999999999999,0.9423,0.9422823239617133,0.9005123293928503,0.88,0.99,0.026032863845531842,10000.0,0.0,0.0,0.5,1.0,0.9423,0.9422823239617133,20
fedavg,unsw_nb15,42,3,train,50,0.2,2,0.01,64,100,1,60,60,0,120,1.8406157493591309,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.3649466606140137,0.36494666061401365,0.9551000000000001,0.9551,0.9550614206790388,0.9226251996290726,0.88,1.0,0.030149461023374846,10000.0,0.0,0.0,0.5,1.0,0.9551,0.9550614206790388,20
fedavg,unsw_nb15,42,4,train,50,0.2,2,0.01,64,100,1,80,80,0,160,2.3618850708007812,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.28899797892570495,0.28899797892570495,0.9587,0.9587,0.9586794517045382,0.9277962986704058,0.9,1.0,0.026292774672902048,10000.0,0.0,0.0,0.5,1.0,0.9587,0.9586794517045382,20
fedavg,unsw_nb15,42,5,train,50,0.2,2,0.01,64,100,1,100,100,0,200,2.849193572998047,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.23230559949874877,0.23230559949874877,0.9686999999999999,0.9687,0.9686827050238493,0.9449947746547636,0.91,1.0,0.02587102626491651,10000.0,0.0,0.0,0.5,1.0,0.9687,0.9686827050238493,20
fedavg,unsw_nb15,42,6,train,50,0.2,2,0.01,64,100,1,120,120,0,240,3.3258345127105713,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.19206328897476194,0.19206328897476196,0.9736000000000002,0.9736,0.9735834896810507,0.9538887295278762,0.9,1.0,0.025749563103089727,10000.0,0.0,0.0,0.5,1.0,0.9736,0.9735834896810507,20
fedavg,unsw_nb15,42,7,train,50,0.2,2,0.01,64,100,1,140,140,0,280,3.8012442588806152,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.1568550525665283,0.15685505256652832,0.9815999999999999,0.9816,0.9815950498045954,0.9668949012560353,0.93,1.0,0.019168724527208386,10000.0,0.0,0.0,0.5,1.0,0.9816,0.9815950498045954,20
fedavg,unsw_nb15,42,8,train,50,0.2,2,0.01,64,100,1,160,160,0,320,4.314419269561768,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.13131608817577362,0.13131608817577362,0.9861999999999999,0.9862,0.9861979457022383,0.9746978757139582,0.95,1.0,0.014951922953252548,10000.0,0.0,0.0,0.5,1.0,0.9862,0.9861979457022383,20
fedavg,unsw_nb15,42,9,train,50,0.2,2,0.01,64,100,1,180,180,0,360,4.8042943477630615,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.11131080279350282,0.1113108027935028,0.9899,0.9899,0.9898991635497336,0.981322586330889,0.95,1.0,0.012609123680890764,10000.0,0.0,0.0,0.5,1.0,0.9899,0.9898991635497336,20
fedavg,unsw_nb15,42,10,train,50,0.2,2,0.01,64,100,1,200,200,0,400,5.305464506149292,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.0954001831293106,0.0954001831293106,0.9927999999999999,0.9928,0.9927997232213606,0.9864682642455739,0.97,1.0,0.009600000000000008,10000.0,0.0,0.0,0.5,1.0,0.9928,0.9927997232213606,20
