method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,client_avg_acc,micro_acc,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,acc,f1,num_selected_clients,cluster_sizes,assignment_interval,center_init,updated_clusters
fesem,cifar10,42,1,warmup,100,0.2,2,0.005,32,100,10,20,20,0,40,7.136913537979126,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,2.084359404969215,2.0843594049692156,0.2853,0.2853,0.04439430483155683,0.034318277984070514,0.0,1.0,0.3452519514789163,10000.0,0.0,0.0,0.1,1.0,0.2853,0.04439430483155683,20,[100],,,
fesem,cifar10,42,2,warmup,100,0.2,2,0.005,32,100,10,40,40,0,80,12.104918718338013,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,2.1231901241302484,2.123190124130249,0.185,0.185,0.05744649408917483,0.040068374810961906,0.0,0.78,0.17715812146215595,10000.0,0.0,0.0,0.1,1.0,0.185,0.05744649408917483,20,[100],,,
fesem,cifar10,42,3,warmup,100,0.2,2,0.005,32,100,10,60,60,0,120,17.14115309715271,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,2.0507082370758054,2.050708237075806,0.192,0.192,0.09584589174684649,0.045593638518295336,0.0,0.79,0.18507836178224618,10000.0,0.0,0.0,0.1,1.0,0.192,0.09584589174684649,20,[100],,,
fesem,cifar10,42,4,warmup,100,0.2,2,0.005,32,100,10,80,80,0,160,22.250694751739502,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.950447637689114,1.9504476376891136,0.33270000000000005,0.3327,0.11289799339070525,0.06246889705426995,0.0,0.96,0.3186560998945415,10000.0,0.0,0.0,0.1,1.0,0.3327,0.11289799339070525,20,[100],,,
fesem,cifar10,42,5,warmup,100,0.2,2,0.005,32,100,10,100,100,0,200,27.428456783294678,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,2.002065465545654,2.0020654655456545,0.20120000000000002,0.2012,0.0739540572629022,0.04341028403854276,0.0,0.89,0.2179141115210302,10000.0,0.0,0.0,0.1,1.0,0.2012,0.0739540572629022,20,[100],,,
fesem,cifar10,42,6,clustered,100,0.2,2,0.005,32,100,10,120,120,2000,2240,53.37475919723511,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.3624224310047923,1.3624224310047925,0.5325,0.5325,0.3615600152553922,0.08300790169606616,0.0,0.98,0.3212020392214221,10000.0,0.47619047619047616,0.6979658594790488,0.67,10.0,0.5325,0.3615600152553922,20,"[11, 16, 9, 19, 5, 3, 5, 12, 6, 14]",1,random_perturb,"[0, 1, 3, 4, 7, 8, 9]"
fesem,cifar10,42,7,clustered,100,0.2,2,0.005,32,100,10,140,140,3009,3289,68.82084155082703,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.5560571464207027,1.5560571464207023,0.6128,0.6128,0.47428857878881275,0.09787169202608735,0.0,1.0,0.31254465280980254,10000.0,0.5919448860625331,0.8156357533154799,0.72,9.0,0.6128,0.47428857878881275,20,"[16, 12, 4, 27, 9, 3, 9, 10, 10]",1,random_perturb,"[0, 1, 3, 4, 6, 7, 8]"
fesem,cifar10,42,8,clustered,100,0.2,2,0.005,32,100,10,160,160,3909,4229,82.79821705818176,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,0.920425050675124,0.9204250506751239,0.7056,0.7056,0.5495610736288756,0.11359875940308385,0.0,1.0,0.2157096196278692,10000.0,0.6593468468468469,0.8377857076127414,0.79,9.0,0.7056,0.5495610736288756,20,"[10, 10, 4, 25, 11, 9, 9, 12, 10]",1,random_perturb,"[0, 1, 2, 3, 4, 5, 6, 7]"
fesem,cifar10,42,9,clustered,100,0.2,2,0.005,32,100,10,180,180,4809,5169,96.97874355316162,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,0.7478837907494977,0.7478837907494977,0.7376,0.7376,0.5948230189451454,0.1268746815526073,0.28,1.0,0.1687016301047503,10000.0,0.7391470644482693,0.8968809606138886,0.84,9.0,0.7376,0.5948230189451454,20,"[10, 10, 5, 24, 11, 10, 9, 11, 10]",1,random_perturb,"[1, 2, 3, 4, 5, 6, 7, 8]"
fesem,cifar10,42,10,clustered,100,0.2,2,0.005,32,100,10,200,200,5709,6109,112.22844099998474,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,0.6953834445064888,0.6953834445064887,0.7600999999999998,0.7601,0.6680397315561074,0.13747103671006894,0.3,1.0,0.15703818007096237,10000.0,0.8177777777777778,0.9241492634906193,0.88,9.0,0.7601,0.6680397315561074,20,"[10, 10, 10, 20, 10, 10, 10, 10, 10]",1,random_perturb,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
