method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,client_avg_acc,micro_acc,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,acc,f1,num_selected_clients,cluster_sizes,assignment_interval,center_init,updated_clusters
fesem,fashionmnist,42,1,warmup,100,0.2,2,0.01,64,100,4,20,20,0,40,6.164724826812744,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,1.6967204597473144,1.6967204597473144,0.3646000000000001,0.3646,0.05343690458742488,0.04415209524472357,0.0,0.99,0.34737996487995676,10000.0,0.0,0.0,0.25,1.0,0.3646,0.05343690458742488,20,[100],,,
fesem,fashionmnist,42,2,warmup,100,0.2,2,0.01,64,100,4,40,40,0,80,12.410893440246582,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,1.8267497999191284,1.8267497999191284,0.2723,0.2723,0.04280437003851293,0.03220195300298669,0.0,1.0,0.3575020419522104,10000.0,0.0,0.0,0.25,1.0,0.2723,0.04280437003851293,20,[100],,,
fesem,fashionmnist,42,3,warmup,100,0.2,2,0.01,64,100,4,60,60,0,120,20.513219833374023,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,1.8527699894428253,1.8527699894428253,0.3648000000000001,0.3648,0.053706004759259476,0.04440570326453883,0.0,0.99,0.3473945307571782,10000.0,0.0,0.0,0.25,1.0,0.3648,0.053706004759259476,20,[100],,,
fesem,fashionmnist,42,4,warmup,100,0.2,2,0.01,64,100,4,80,80,0,160,39.33295679092407,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,1.2646497957229617,1.2646497957229614,0.5896999999999999,0.5897,0.1483427125832941,0.10638326139661004,0.07,1.0,0.2552937719569359,10000.0,0.0,0.0,0.25,1.0,0.5897,0.1483427125832941,20,[100],,,
fesem,fashionmnist,42,5,warmup,100,0.2,2,0.01,64,100,4,100,100,0,200,68.93283939361572,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,1.2074311299920082,1.2074311299920082,0.5180999999999999,0.5181,0.149102714591793,0.09955432987985241,0.11,0.98,0.2693870635349812,10000.0,0.0,0.0,0.25,1.0,0.5181,0.149102714591793,20,[100],,,
fesem,fashionmnist,42,6,clustered,100,0.2,2,0.01,64,100,4,120,120,800,1040,170.45467925071716,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,1.1718944709777834,1.1718944709777832,0.6306,0.6306,0.31623160147783835,0.13534403811195206,0.0,1.0,0.33247502161816606,10000.0,0.40799059929494713,0.5071909823446422,0.65,4.0,0.6306,0.31623160147783835,20,"[28, 17, 14, 41]",1,random_perturb,"[0, 1, 2, 3]"
fesem,fashionmnist,42,7,clustered,100,0.2,2,0.01,64,100,4,140,140,1200,1480,236.48449563980103,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.7297342780411245,0.7297342780411243,0.7628,0.7628,0.47489134768291946,0.20799118561266436,0.41,1.0,0.16182138301225826,10000.0,0.4921356276862878,0.5992461982639834,0.73,4.0,0.7628,0.47489134768291946,20,"[43, 28, 11, 18]",1,random_perturb,"[0, 1, 2, 3]"
fesem,fashionmnist,42,8,clustered,100,0.2,2,0.01,64,100,4,160,160,1600,1920,305.77452397346497,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.602016023901105,0.602016023901105,0.7897,0.7897,0.5213171513109347,0.2152894993882777,0.14,1.0,0.16168150790984107,10000.0,0.7560224596993298,0.7942322533437294,0.9,4.0,0.7897,0.5213171513109347,20,"[30, 29, 19, 22]",1,random_perturb,"[0, 1, 2, 3]"
fesem,fashionmnist,42,9,clustered,100,0.2,2,0.01,64,100,4,180,180,2000,2360,374.88044142723083,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.5571259197592735,0.5571259197592735,0.8186999999999998,0.8187,0.5614126891707244,0.22978181626263922,0.32,1.0,0.15986028274715394,10000.0,0.7166410917757681,0.7897621791442924,0.88,4.0,0.8187,0.5614126891707244,20,"[30, 32, 20, 18]",1,random_perturb,"[0, 1, 2, 3]"
fesem,fashionmnist,42,10,clustered,100,0.2,2,0.01,64,100,4,200,200,2400,2800,444.67832922935486,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.4445031916603447,0.4445031916603446,0.8461999999999997,0.8462,0.6571373987729696,0.24591782885644947,0.41,1.0,0.12533778360893413,10000.0,0.9466953089873608,0.9392620006232949,0.98,4.0,0.8462,0.6571373987729696,20,"[26, 25, 23, 26]",1,random_perturb,"[0, 1, 2, 3]"
