method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,client_avg_acc,micro_acc,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,acc,f1,num_selected_clients,cluster_sizes,assignment_interval,center_init,updated_clusters
fesem,unsw_nb15,42,1,warmup,50,0.2,2,0.01,64,100,4,20,20,0,40,0.8264443874359131,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.5737741556167603,0.5737741556167603,0.9102000000000002,0.9102,0.9101899089381683,0.8513420740233141,0.85,0.96,0.025611716069018096,10000.0,0.0,0.0,0.5,1.0,0.9102,0.9101899089381683,20,[100],,,
fesem,unsw_nb15,42,2,warmup,50,0.2,2,0.01,64,100,4,40,40,0,80,1.3421611785888672,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.45925952701568606,0.459259527015686,0.9422999999999999,0.9423,0.9422823239617133,0.9005123293928503,0.88,0.99,0.026032863845531842,10000.0,0.0,0.0,0.5,1.0,0.9423,0.9422823239617133,20,[100],,,
fesem,unsw_nb15,42,3,warmup,50,0.2,2,0.01,64,100,4,60,60,0,120,1.8156101703643799,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.3649466606140137,0.36494666061401365,0.9551000000000001,0.9551,0.9550614206790388,0.9226251996290726,0.88,1.0,0.030149461023374846,10000.0,0.0,0.0,0.5,1.0,0.9551,0.9550614206790388,20,[100],,,
fesem,unsw_nb15,42,4,warmup,50,0.2,2,0.01,64,100,4,80,80,0,160,2.302267551422119,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.28899797892570495,0.28899797892570495,0.9587,0.9587,0.9586794517045382,0.9277962986704058,0.9,1.0,0.026292774672902048,10000.0,0.0,0.0,0.5,1.0,0.9587,0.9586794517045382,20,[100],,,
fesem,unsw_nb15,42,5,warmup,50,0.2,2,0.01,64,100,4,100,100,0,200,2.7722318172454834,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.23230559949874877,0.23230559949874877,0.9686999999999999,0.9687,0.9686827050238493,0.9449947746547636,0.91,1.0,0.02587102626491651,10000.0,0.0,0.0,0.5,1.0,0.9687,0.9686827050238493,20,[100],,,
fesem,unsw_nb15,42,6,clustered,50,0.2,2,0.01,64,100,4,120,120,800,1040,4.239845514297485,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.18595452861785888,0.18595452861785888,0.9728999999999999,0.9729,0.9728915071802845,0.9498241276823657,0.93,1.0,0.01750971159100002,10000.0,0.09158734242346282,0.1846936684670724,0.69,4.0,0.9729,0.9728915071802845,20,"[10, 9, 66, 15]",1,random_perturb,"[0, 1, 2, 3]"
fesem,unsw_nb15,42,7,clustered,50,0.2,2,0.01,64,100,4,140,140,1200,1480,5.248641729354858,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.1255597033262253,0.1255597033262253,0.9822000000000003,0.9822,0.9821983594008024,0.9641079130457467,0.94,1.0,0.012294714311442955,10000.0,0.4319655490618271,0.5384997698525806,0.93,4.0,0.9822,0.9821983594008024,20,"[26, 17, 23, 34]",1,random_perturb,"[0, 1, 2, 3]"
fesem,unsw_nb15,42,8,clustered,50,0.2,2,0.01,64,100,4,160,160,1600,1920,6.255643129348755,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.10227902969121935,0.10227902969121933,0.9862000000000001,0.9862,0.9861997328268275,0.9714352831281784,0.96,1.0,0.010467091286503628,10000.0,0.675290215588723,0.6955352651434756,0.98,4.0,0.9862,0.9861997328268275,20,"[27, 19, 6, 48]",1,random_perturb,"[0, 1, 3]"
fesem,unsw_nb15,42,9,clustered,50,0.2,2,0.01,64,100,4,180,180,2003,2363,7.2243430614471436,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.08710048242807389,0.08710048242807389,0.9887999999999999,0.9888,0.9887998548461188,0.9767126386422117,0.96,1.0,0.01032279032045116,10000.0,0.7569558101472995,0.804675066467607,1.0,3.0,0.9888,0.9887998548461188,20,"[30, 20, 50]",1,random_perturb,"[0, 1, 2]"
fesem,unsw_nb15,42,10,clustered,50,0.2,2,0.01,64,100,4,200,200,2303,2703,8.07881236076355,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.07717588130235672,0.07717588130235672,0.9904999999999999,0.9905,0.9904999201043281,0.9803350137815463,0.96,1.0,0.009313968005098589,10000.0,0.7472092185812027,0.800184756899806,1.0,3.0,0.9905,0.9904999201043281,20,"[24, 26, 50]",1,random_perturb,"[0, 1, 2]"
fesem,unsw_nb15,42,11,clustered,50,0.2,2,0.01,64,100,4,220,220,2603,3043,8.93575406074524,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.06941110807657241,0.06941110807657241,0.9908,0.9908,0.9907999171992548,0.9809759002800702,0.96,1.0,0.00913016976841067,10000.0,0.7484276472200967,0.800740133903587,1.0,3.0,0.9908,0.9907999171992548,20,"[23, 27, 50]",1,random_perturb,"[0, 1, 2]"
fesem,unsw_nb15,42,12,clustered,50,0.2,2,0.01,64,100,4,240,240,2903,3383,9.805863618850708,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.06229878943562508,0.06229878943562508,0.9923000000000001,0.9923,0.9922999592667845,0.9841783980782681,0.97,1.0,0.008106170489201429,10000.0,0.7468030690537084,0.8000000000000002,1.0,3.0,0.9923,0.9922999592667845,20,"[25, 25, 50]",1,random_perturb,"[0, 1, 2]"
fesem,unsw_nb15,42,13,clustered,50,0.2,2,0.01,64,100,4,260,260,3203,3723,10.6678946018219,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.056502480620145804,0.0565024806201458,0.9934999999999998,0.9935,0.9934999812149456,0.9866475161424596,0.97,1.0,0.007921489758877439,10000.0,0.7468030690537084,0.8000000000000002,1.0,3.0,0.9935,0.9934999812149456,20,"[25, 25, 50]",1,random_perturb,"[0, 1, 2]"
