method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,client_avg_acc,micro_acc,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,acc,f1,num_selected_clients,cluster_sizes,num_empty_clusters,updated_clusters,assignment_split,center_init,eval_assign_all
ifca,cicids2017,42,1,warmup,50,0.2,2,0.01,64,100,4,20,20,0,40,0.7793130874633789,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.48679147558212277,0.4867914755821228,0.8404,0.8404,0.6261866115783778,0.6229048670007976,0.73,0.93,0.03857252908482927,10000.0,0.0,0.0,0.5,1.0,0.8404,0.6261866115783778,20,[100],0,,,,
ifca,cicids2017,42,2,warmup,50,0.2,2,0.01,64,100,4,40,40,0,80,1.2352313995361328,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.42148466672897344,0.4214846667289734,0.8575999999999998,0.8576,0.6858506885385183,0.6812432150015587,0.78,0.94,0.03547167884383258,10000.0,0.0,0.0,0.5,1.0,0.8576,0.6858506885385183,20,[100],0,,,,
ifca,cicids2017,42,3,warmup,50,0.2,2,0.01,64,100,4,60,60,0,120,1.6919870376586914,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.3857903594970702,0.3857903594970703,0.867,0.867,0.7168554623350065,0.7113978439366858,0.8,0.94,0.03401470270338991,10000.0,0.0,0.0,0.5,1.0,0.867,0.7168554623350065,20,[100],0,,,,
ifca,cicids2017,42,4,warmup,50,0.2,2,0.01,64,100,4,80,80,0,160,2.13513445854187,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.36225047907829294,0.36225047907829283,0.8738000000000001,0.8738,0.7385817825557239,0.7340253758945399,0.8,0.95,0.03276522546847497,10000.0,0.0,0.0,0.5,1.0,0.8738,0.7385817825557239,20,[100],0,,,,
ifca,cicids2017,42,5,warmup,50,0.2,2,0.01,64,100,4,100,100,0,200,2.590061664581299,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.34435224533081055,0.34435224533081055,0.8821000000000001,0.8821,0.7613613020046399,0.7570989602522599,0.8,0.96,0.033415415604178864,10000.0,0.0,0.0,0.5,1.0,0.8821,0.7613613020046399,20,[100],0,,,,
ifca,cicids2017,42,6,clustered,50,0.2,2,0.01,64,100,4,120,120,880,1120,4.2480034828186035,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.3296654434204102,0.32966544342041015,0.8841,0.8841,0.768466314675534,0.763920815827941,0.81,0.96,0.03200296861230221,10000.0,0.008769059616517244,0.024224520942614947,0.58,3.0,0.8841,0.768466314675534,20,"[26, 20, 54, 0]",1,"[0, 1, 2]",val,random_perturb,True
ifca,cicids2017,42,7,clustered,50,0.2,2,0.01,64,100,4,140,140,1360,1640,5.361994504928589,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.3164083776950836,0.3164083776950836,0.8846,0.8846,0.7692696805564719,0.7647831362757975,0.81,0.96,0.03226205201161266,10000.0,0.024971483939018557,0.04404923907207619,0.6,3.0,0.8846,0.7692696805564719,20,"[25, 18, 57, 0]",1,"[0, 1, 2]",val,random_perturb,True
ifca,cicids2017,42,8,clustered,50,0.2,2,0.01,64,100,4,160,160,1840,2160,6.465096712112427,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.3053726422786713,0.3053726422786713,0.8841000000000001,0.8841,0.7685969718947145,0.764159841164968,0.81,0.96,0.032282967645493814,10000.0,0.017501318732544683,0.030738332707228207,0.59,3.0,0.8841,0.7685969718947145,20,"[23, 21, 56, 0]",1,"[0, 1, 2]",val,random_perturb,True
ifca,cicids2017,42,9,clustered,50,0.2,2,0.01,64,100,4,180,180,2320,2680,7.604261875152588,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.29453131279945377,0.2945313127994537,0.8843000000000001,0.8843,0.7693864797372337,0.7648701578968305,0.81,0.96,0.03181996228784693,10000.0,0.04852405984634048,0.06035295194849812,0.63,3.0,0.8843,0.7693864797372337,20,"[18, 19, 63, 0]",1,"[0, 1, 2]",val,random_perturb,True
ifca,cicids2017,42,10,clustered,50,0.2,2,0.01,64,100,4,200,200,2800,3200,8.756011486053467,splits\cicids2017\cicids2017_label_group_clients100_train400_test100_val0.2_seed42.json,0.28617561211586007,0.28617561211586,0.8851000000000002,0.8851,0.770464016878506,0.7659045758332401,0.81,0.96,0.031670017366588234,10000.0,0.04275344262027214,0.04891949315029403,0.62,3.0,0.8851,0.770464016878506,20,"[15, 23, 62, 0]",1,"[0, 1, 2]",val,random_perturb,True
