method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,client_avg_acc,micro_acc,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,acc,f1,num_selected_clients,cluster_sizes,num_empty_clusters,updated_clusters,assignment_split,center_init,eval_assign_all
ifca,cifar10,42,1,warmup,100,0.2,2,0.005,32,100,10,20,20,0,40,6.542691230773926,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,2.084359403038025,2.084359403038025,0.2853,0.2853,0.04439430483155683,0.034318277984070514,0.0,1.0,0.3452519514789163,10000.0,0.0,0.0,0.1,1.0,0.2853,0.04439430483155683,20,[100],0,,,,
ifca,cifar10,42,2,warmup,100,0.2,2,0.005,32,100,10,40,40,0,80,11.557191848754883,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,2.1231933149814606,2.1231933149814606,0.185,0.185,0.05744649408917483,0.040068374810961906,0.0,0.78,0.17715812146215595,10000.0,0.0,0.0,0.1,1.0,0.185,0.05744649408917483,20,[100],0,,,,
ifca,cifar10,42,3,warmup,100,0.2,2,0.005,32,100,10,60,60,0,120,17.129653453826904,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,2.0507001625537873,2.0507001625537873,0.1919,0.1919,0.09574447316425325,0.04557858140510738,0.0,0.79,0.18506590717903715,10000.0,0.0,0.0,0.1,1.0,0.1919,0.09574447316425325,20,[100],0,,,,
ifca,cifar10,42,4,warmup,100,0.2,2,0.005,32,100,10,80,80,0,160,22.99430203437805,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.9504971808314326,1.9504971808314324,0.33270000000000005,0.3327,0.11289799339070525,0.06246889705426995,0.0,0.96,0.3186560998945415,10000.0,0.0,0.0,0.1,1.0,0.3327,0.11289799339070525,20,[100],0,,,,
ifca,cifar10,42,5,warmup,100,0.2,2,0.005,32,100,10,100,100,0,200,28.42177653312683,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,2.0020981464385987,2.0020981464385987,0.20120000000000002,0.2012,0.07396358245382005,0.04341403493976689,0.0,0.89,0.2179141115210302,10000.0,0.0,0.0,0.1,1.0,0.2012,0.07396358245382005,20,[100],0,,,,
ifca,cifar10,42,6,clustered,100,0.2,2,0.005,32,100,10,120,120,2200,2440,74.80340480804443,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,1.0947435697036796,1.0947435697036796,0.6007999999999999,0.6008,0.4118377401788661,0.08753307755796998,0.0,1.0,0.2872200550100915,10000.0,0.6723404255319149,0.8477965253905151,0.79,10.0,0.6008,0.4118377401788661,20,"[10, 12, 10, 24, 12, 2, 1, 10, 9, 10]",0,"[0, 1, 3, 4, 7, 8, 9]",val,random_perturb,True
ifca,cifar10,42,7,clustered,100,0.2,2,0.005,32,100,10,140,140,3400,3680,142.45154404640198,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,0.865742228373885,0.8657422283738851,0.7218000000000001,0.7218,0.5579709683270189,0.12034943453042021,0.31,1.0,0.17600215907766587,10000.0,0.6793331470615628,0.8494559262203025,0.79,8.0,0.7218,0.5579709683270189,20,"[10, 10, 10, 20, 19, 0, 0, 9, 12, 10]",2,"[0, 1, 2, 3, 4, 7, 8, 9]",val,random_perturb,True
ifca,cifar10,42,8,clustered,100,0.2,2,0.005,32,100,10,160,160,4600,4920,230.2122302055359,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,0.837404223026894,0.837404223026894,0.7226,0.7226,0.5667595107710217,0.11784120070254288,0.22,1.0,0.20087120251544271,10000.0,0.7434565638048681,0.8761812304672395,0.85,10.0,0.7226,0.5667595107710217,20,"[10, 10, 10, 19, 13, 7, 1, 9, 11, 10]",0,"[0, 1, 2, 3, 4, 7, 8]",val,random_perturb,True
ifca,cifar10,42,9,clustered,100,0.2,2,0.005,32,100,10,180,180,5800,6160,266.95264863967896,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,0.7559130588663742,0.7559130588663742,0.7329000000000001,0.7329,0.5754772091079675,0.12249997322174057,0.24,1.0,0.181721187537392,10000.0,0.8309449636552441,0.9237792731493556,0.89,10.0,0.7329,0.5754772091079675,20,"[10, 9, 10, 13, 17, 10, 1, 10, 10, 10]",0,"[0, 1, 3, 4, 5, 7, 8, 9]",val,random_perturb,True
ifca,cifar10,42,10,clustered,100,0.2,2,0.005,32,100,10,200,200,7000,7400,284.7695691585541,splits\cifar10\dirichlet_k10_ainter0.1_aintra10_clients100_train500_test100_val0.1_seed42.json,0.7130039407029747,0.7130039407029748,0.7414999999999999,0.7415,0.6492209995086557,0.13048912245003597,0.18,1.0,0.17878688430642783,10000.0,0.8210815378115758,0.9203474191718829,0.89,10.0,0.7415,0.6492209995086557,20,"[10, 10, 10, 13, 17, 7, 4, 9, 10, 10]",0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",val,random_perturb,True
