method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,client_avg_acc,micro_acc,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,acc,f1,num_selected_clients,cluster_sizes,num_empty_clusters,updated_clusters,assignment_split,center_init,eval_assign_all
ifca,fashionmnist,42,1,clustered,100,0.2,2,0.01,64,100,4,20,20,880,920,120.19139337539673,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,1.4733191197596494,1.4733191197596491,0.6173,0.6173,0.18721509139924933,0.07522296729666707,0.03,1.0,0.2834531883750825,10000.0,0.3746757940388622,0.5486252561079279,0.59,4.0,0.6173,0.18721509139924933,20,"[45, 9, 6, 40]",0,"[0, 1, 2, 3]",val,random_perturb,True
ifca,fashionmnist,42,2,clustered,100,0.2,2,0.01,64,100,4,40,40,1360,1440,202.19710683822632,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,1.3132352228879927,1.3132352228879929,0.48279999999999995,0.4828,0.15778036841327733,0.062081090454108,0.0,0.99,0.30942553223675645,10000.0,0.47942416560492823,0.6550532166450116,0.57,3.0,0.4828,0.15778036841327733,20,"[50, 0, 7, 43]",1,"[0, 3]",val,random_perturb,True
ifca,fashionmnist,42,3,clustered,100,0.2,2,0.01,64,100,4,60,60,1840,1960,283.39100790023804,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,1.2637542522460223,1.2637542522460221,0.6072000000000001,0.6072,0.23043710314177446,0.08862400302286452,0.0,1.0,0.32333598624341214,10000.0,0.3718801256214319,0.5717670529275634,0.61,3.0,0.6072,0.23043710314177446,20,"[27, 0, 11, 62]",1,"[0, 2, 3]",val,random_perturb,True
ifca,fashionmnist,42,4,clustered,100,0.2,2,0.01,64,100,4,80,80,2320,2480,367.123286485672,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.8015666007958353,0.8015666007958353,0.7559,0.7559,0.36350541034397604,0.1436292824031916,0.37,1.0,0.1655360685772137,10000.0,0.6149940030218539,0.6884135957713458,0.8,4.0,0.7559,0.36350541034397604,20,"[25, 7, 32, 36]",0,"[0, 2, 3]",val,random_perturb,True
ifca,fashionmnist,42,5,clustered,100,0.2,2,0.01,64,100,4,100,100,2800,3000,448.10092663764954,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.7230169615626335,0.7230169615626335,0.7789999999999998,0.779,0.3948832213957695,0.1568088305603329,0.18,1.0,0.1869304683565523,10000.0,0.6053658838837598,0.6930806380547885,0.8,4.0,0.779,0.3948832213957695,20,"[23, 7, 33, 37]",0,"[0, 1, 2, 3]",val,random_perturb,True
ifca,fashionmnist,42,6,clustered,100,0.2,2,0.01,64,100,4,120,120,3280,3520,529.8749034404755,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.6657257873415946,0.6657257873415947,0.7706999999999999,0.7707,0.4407588389838629,0.16143348853498715,0.18,1.0,0.1704421016063813,10000.0,0.614681794274551,0.7386221857960075,0.79,4.0,0.7707,0.4407588389838629,20,"[23, 7, 24, 46]",0,"[0, 1, 2, 3]",val,random_perturb,True
ifca,fashionmnist,42,7,clustered,100,0.2,2,0.01,64,100,4,140,140,3760,4040,606.937878370285,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.569714605975151,0.5697146059751511,0.8186,0.8186,0.5050269328257523,0.19334180537262932,0.3,1.0,0.14565726895695935,10000.0,0.638223150301362,0.7137232410918888,0.83,4.0,0.8186,0.5050269328257523,20,"[23, 10, 32, 35]",0,"[0, 1, 2, 3]",val,random_perturb,True
ifca,fashionmnist,42,8,clustered,100,0.2,2,0.01,64,100,4,160,160,4240,4560,679.6053462028503,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.5833761709809305,0.5833761709809303,0.7462000000000001,0.7462,0.45358001672519876,0.19115592815880106,0.16,1.0,0.2268205458065913,10000.0,0.8296359827805175,0.8642126205328791,0.93,4.0,0.7462,0.45358001672519876,20,"[19, 24, 26, 31]",0,"[0, 1, 2, 3]",val,random_perturb,True
ifca,fashionmnist,42,9,clustered,100,0.2,2,0.01,64,100,4,180,180,4720,5080,749.8433156013489,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.5416405806571245,0.5416405806571245,0.8165,0.8165,0.5590656856662559,0.2042236026847014,0.23,1.0,0.15776168736420135,10000.0,0.8468677494199536,0.8671582444460125,0.94,4.0,0.8165,0.5590656856662559,20,"[23, 21, 29, 27]",0,"[0, 1, 2, 3]",val,random_perturb,True
ifca,fashionmnist,42,10,clustered,100,0.2,2,0.01,64,100,4,200,200,5200,5600,823.2884006500244,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.47534234851002694,0.47534234851002694,0.8376999999999998,0.8377,0.5936827886223376,0.22444387436933,0.31,1.0,0.13484698735974787,10000.0,0.8946388186776639,0.8981821728251178,0.96,4.0,0.8377,0.5936827886223376,20,"[23, 23, 27, 27]",0,"[0, 1, 2, 3]",val,random_perturb,True
ifca,fashionmnist,42,11,clustered,100,0.2,2,0.01,64,100,4,220,220,5680,6120,895.6763470172882,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.4640890484213828,0.4640890484213829,0.8162999999999998,0.8163,0.6158706842780599,0.2290560086696968,0.38,1.0,0.15375080487594206,10000.0,0.8992567029466418,0.9182034165463083,0.96,4.0,0.8163,0.6158706842780599,20,"[21, 25, 25, 29]",0,"[0, 1, 2, 3]",val,random_perturb,True
ifca,fashionmnist,42,12,clustered,100,0.2,2,0.01,64,100,4,240,240,6160,6640,965.6875813007355,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.4917351490966976,0.4917351490966976,0.8383999999999997,0.8384,0.6615669341795193,0.22868704883944369,0.18,1.0,0.15505302318884337,10000.0,0.8946388186776639,0.8981821728251178,0.96,4.0,0.8384,0.6615669341795193,20,"[23, 23, 27, 27]",0,"[0, 1, 2, 3]",val,random_perturb,True
ifca,fashionmnist,42,13,clustered,100,0.2,2,0.01,64,100,4,260,260,6640,7160,1036.6314890384674,splits\fashionmnist\dirichlet_k4_ainter0.1_aintra10_clients100_seed42.json,0.42061822157800194,0.420618221578002,0.8530999999999999,0.8531,0.6791865423918608,0.24572672980075086,0.37,1.0,0.13709628003706006,10000.0,0.8946388186776639,0.8981821728251178,0.96,4.0,0.8531,0.6791865423918608,20,"[23, 23, 27, 27]",0,"[0, 1, 2, 3]",val,random_perturb,True
