method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,client_avg_acc,micro_acc,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,acc,f1,num_selected_clients,cluster_sizes,num_empty_clusters,updated_clusters,assignment_split,center_init,eval_assign_all
ifca,unsw_nb15,42,1,warmup,50,0.2,2,0.01,64,100,4,20,20,0,40,0.8405666351318359,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.5737741556167603,0.5737741556167603,0.9102000000000002,0.9102,0.9101899089381683,0.8513420740233141,0.85,0.96,0.025611716069018096,10000.0,0.0,0.0,0.5,1.0,0.9102,0.9101899089381683,20,[100],0,,,,
ifca,unsw_nb15,42,2,warmup,50,0.2,2,0.01,64,100,4,40,40,0,80,1.3500683307647705,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.45925952701568606,0.459259527015686,0.9422999999999999,0.9423,0.9422823239617133,0.9005123293928503,0.88,0.99,0.026032863845531842,10000.0,0.0,0.0,0.5,1.0,0.9423,0.9422823239617133,20,[100],0,,,,
ifca,unsw_nb15,42,3,warmup,50,0.2,2,0.01,64,100,4,60,60,0,120,1.827075719833374,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.3649466606140137,0.36494666061401365,0.9551000000000001,0.9551,0.9550614206790388,0.9226251996290726,0.88,1.0,0.030149461023374846,10000.0,0.0,0.0,0.5,1.0,0.9551,0.9550614206790388,20,[100],0,,,,
ifca,unsw_nb15,42,4,warmup,50,0.2,2,0.01,64,100,4,80,80,0,160,2.315211296081543,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.28899797892570495,0.28899797892570495,0.9587,0.9587,0.9586794517045382,0.9277962986704058,0.9,1.0,0.026292774672902048,10000.0,0.0,0.0,0.5,1.0,0.9587,0.9586794517045382,20,[100],0,,,,
ifca,unsw_nb15,42,5,warmup,50,0.2,2,0.01,64,100,4,100,100,0,200,2.786229372024536,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.23230559949874877,0.23230559949874877,0.9686999999999999,0.9687,0.9686827050238493,0.9449947746547636,0.91,1.0,0.02587102626491651,10000.0,0.0,0.0,0.5,1.0,0.9687,0.9686827050238493,20,[100],0,,,,
ifca,unsw_nb15,42,6,clustered,50,0.2,2,0.01,64,100,4,120,120,880,1120,4.503034353256226,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.1720523488044739,0.17205234880447387,0.9754,0.9754,0.9753905460321637,0.9528807228528465,0.94,1.0,0.014725488107359984,10000.0,0.4319655490618271,0.5384997698525806,0.93,4.0,0.9754,0.9753905460321637,20,"[26, 17, 23, 34]",0,"[0, 1, 2, 3]",val,random_perturb,True
ifca,unsw_nb15,42,7,clustered,50,0.2,2,0.01,64,100,4,140,140,1360,1640,5.684423923492432,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.1214759374856949,0.12147593748569488,0.9830000000000002,0.983,0.9829991186743121,0.9651064325065175,0.94,1.0,0.012206555615733715,10000.0,0.6655336923360429,0.6864927084818242,0.98,4.0,0.983,0.9829991186743121,20,"[26, 19, 7, 48]",0,"[0, 1, 2, 3]",val,random_perturb,True
ifca,unsw_nb15,42,8,clustered,50,0.2,2,0.01,64,100,4,160,160,1840,2160,6.8143532276153564,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.10109440376758574,0.10109440376758576,0.9861999999999999,0.9862,0.9861996820406742,0.9713131993554694,0.96,1.0,0.010467091286503628,10000.0,0.737866938404685,0.7814348220711087,1.0,4.0,0.9862,0.9861996820406742,20,"[26, 23, 1, 50]",0,"[0, 1, 3]",val,random_perturb,True
ifca,unsw_nb15,42,9,clustered,50,0.2,2,0.01,64,100,4,180,180,2320,2680,7.9964377880096436,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.08704876246452331,0.08704876246452331,0.9885999999999998,0.9886,0.988599835381623,0.9762586819105294,0.96,1.0,0.010584894897919403,10000.0,0.7472092185812027,0.800184756899806,1.0,3.0,0.9886,0.988599835381623,20,"[24, 26, 0, 50]",1,"[0, 1, 3]",val,random_perturb,True
ifca,unsw_nb15,42,10,clustered,50,0.2,2,0.01,64,100,4,200,200,2800,3200,9.153248071670532,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.07751812741756439,0.07751812741756439,0.9901000000000001,0.9901,0.9900998921878259,0.9794924737238372,0.96,1.0,0.00943345111822816,10000.0,0.7533010626414229,0.8029784244290347,1.0,3.0,0.9901,0.9900998921878259,20,"[21, 29, 0, 50]",1,"[0, 1, 3]",val,random_perturb,True
ifca,unsw_nb15,42,11,clustered,50,0.2,2,0.01,64,100,4,220,220,3280,3720,10.291895389556885,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.06911473058462143,0.06911473058462143,0.9911,0.9911,0.9910999251503705,0.9816330952121954,0.96,1.0,0.008819863944528857,10000.0,0.7472092185812027,0.800184756899806,1.0,3.0,0.9911,0.9910999251503705,20,"[24, 26, 0, 50]",1,"[0, 1, 3]",val,random_perturb,True
ifca,unsw_nb15,42,12,clustered,50,0.2,2,0.01,64,100,4,240,240,3760,4240,11.430348634719849,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.06219940564632416,0.06219940564632416,0.9924000000000001,0.9924,0.992399963215822,0.9844053764441091,0.97,1.0,0.007889233169326416,10000.0,0.7472092185812027,0.800184756899806,1.0,3.0,0.9924,0.992399963215822,20,"[24, 26, 0, 50]",1,"[0, 1, 3]",val,random_perturb,True
ifca,unsw_nb15,42,13,clustered,50,0.2,2,0.01,64,100,4,260,260,4240,4760,12.62533712387085,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.056374906480312355,0.05637490648031235,0.9935,0.9935,0.9934999765349153,0.9866475161424596,0.97,1.0,0.007921489758877437,10000.0,0.7472092185812027,0.800184756899806,1.0,3.0,0.9935,0.9934999765349153,20,"[24, 26, 0, 50]",1,"[0, 1, 3]",val,random_perturb,True
ifca,unsw_nb15,42,14,clustered,50,0.2,2,0.01,64,100,4,280,280,4720,5280,13.801907300949097,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.05121860382556915,0.051218603825569156,0.9943,0.9943,0.9942999871749711,0.9883353447765657,0.97,1.0,0.007246378405796932,10000.0,0.7484276472200967,0.800740133903587,1.0,3.0,0.9943,0.9942999871749711,20,"[23, 27, 0, 50]",1,"[0, 1, 3]",val,random_perturb,True
ifca,unsw_nb15,42,15,clustered,50,0.2,2,0.01,64,100,4,300,300,5200,5800,14.984389066696167,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.04660979231595992,0.04660979231595993,0.9953,0.9953,0.9952999830329388,0.9903758309157307,0.97,1.0,0.0069935684739623515,10000.0,0.7533010626414229,0.8029784244290347,1.0,3.0,0.9953,0.9952999830329388,20,"[21, 29, 0, 50]",1,"[0, 1, 3]",val,random_perturb,True
ifca,unsw_nb15,42,16,clustered,50,0.2,2,0.01,64,100,4,320,320,5680,6320,16.108965396881104,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,0.04277611671090126,0.04277611671090126,0.9959,0.9959,0.9958999851989465,0.9915977275444986,0.97,1.0,0.006796322535018485,10000.0,0.7504582951420715,0.8016694732754818,1.0,3.0,0.9959,0.9958999851989465,20,"[22, 28, 0, 50]",1,"[0, 1, 3]",val,random_perturb,True
