method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,client_avg_acc,micro_acc,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,acc,f1,num_selected_clients
fedavg,unsw_nb15,42,1,train,50,0.2,2,0.01,64,100,1,20,20,0,40,0.7389700412750244,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,nan,nan,0.49999999999999983,0.5,0.3333333333333333,0.2949471210340776,0.15,0.85,0.35,10000.0,0.0,0.0,0.5,1.0,0.5,0.3333333333333333,20
fedavg,unsw_nb15,42,2,train,50,0.2,2,0.01,64,100,1,40,40,0,80,1.2059087753295898,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,nan,nan,0.49999999999999983,0.5,0.3333333333333333,0.2949471210340776,0.15,0.85,0.35,10000.0,0.0,0.0,0.5,1.0,0.5,0.3333333333333333,20
fedavg,unsw_nb15,42,3,train,50,0.2,2,0.01,64,100,1,60,60,0,120,1.673086166381836,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,nan,nan,0.49999999999999983,0.5,0.3333333333333333,0.2949471210340776,0.15,0.85,0.35,10000.0,0.0,0.0,0.5,1.0,0.5,0.3333333333333333,20
fedavg,unsw_nb15,42,4,train,50,0.2,2,0.01,64,100,1,80,80,0,160,2.128046751022339,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,nan,nan,0.49999999999999983,0.5,0.3333333333333333,0.2949471210340776,0.15,0.85,0.35,10000.0,0.0,0.0,0.5,1.0,0.5,0.3333333333333333,20
fedavg,unsw_nb15,42,5,train,50,0.2,2,0.01,64,100,1,100,100,0,200,2.5730926990509033,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,nan,nan,0.49999999999999983,0.5,0.3333333333333333,0.2949471210340776,0.15,0.85,0.35,10000.0,0.0,0.0,0.5,1.0,0.5,0.3333333333333333,20
fedavg,unsw_nb15,42,6,train,50,0.2,2,0.01,64,100,1,120,120,0,240,3.0268490314483643,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,nan,nan,0.49999999999999983,0.5,0.3333333333333333,0.2949471210340776,0.15,0.85,0.35,10000.0,0.0,0.0,0.5,1.0,0.5,0.3333333333333333,20
fedavg,unsw_nb15,42,7,train,50,0.2,2,0.01,64,100,1,140,140,0,280,3.463284730911255,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,nan,nan,0.49999999999999983,0.5,0.3333333333333333,0.2949471210340776,0.15,0.85,0.35,10000.0,0.0,0.0,0.5,1.0,0.5,0.3333333333333333,20
fedavg,unsw_nb15,42,8,train,50,0.2,2,0.01,64,100,1,160,160,0,320,3.8989038467407227,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,nan,nan,0.49999999999999983,0.5,0.3333333333333333,0.2949471210340776,0.15,0.85,0.35,10000.0,0.0,0.0,0.5,1.0,0.5,0.3333333333333333,20
fedavg,unsw_nb15,42,9,train,50,0.2,2,0.01,64,100,1,180,180,0,360,4.331281661987305,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,nan,nan,0.49999999999999983,0.5,0.3333333333333333,0.2949471210340776,0.15,0.85,0.35,10000.0,0.0,0.0,0.5,1.0,0.5,0.3333333333333333,20
fedavg,unsw_nb15,42,10,train,50,0.2,2,0.01,64,100,1,200,200,0,400,4.771317481994629,splits\unsw_nb15\unsw_nb15_label_group_clients100_train400_test100_val0.2_seed42.json,nan,nan,0.49999999999999983,0.5,0.3333333333333333,0.2949471210340776,0.15,0.85,0.35,10000.0,0.0,0.0,0.5,1.0,0.5,0.3333333333333333,20
