method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,acc,client_avg_acc,micro_acc,precision,recall,f1,tn,fp,fn,tp,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,num_selected_clients
fedavg,unsw_nb15,42,1,train,50,0.5,2,0.01,64,20,1,10,10,0,20,1.0815773010253906,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.32288999621868136,0.3228899962186813,0.8766,0.8766,0.8766,0.8766,1.0,0.934242779494831,0.0,1234.0,0.0,8766.0,0.4671213897474155,0.46379353561940784,0.5,1.0,0.14212684475495824,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,2,train,50,0.5,2,0.01,64,20,1,20,20,0,40,1.7286376953125,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.2570801802873611,0.2570801802873611,0.9216,0.9216000000000001,0.9216,0.9182561307901907,0.999543691535478,0.9571771902993227,454.0,780.0,4.0,8762.0,0.7469101081520254,0.607738722028638,0.698,1.0,0.0882917889727012,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,3,train,50,0.5,2,0.01,64,20,1,30,30,0,60,2.3327066898345947,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.2702600853681564,0.27026008536815643,0.9223,0.9223000000000001,0.9223,0.9189302569480859,0.999543691535478,0.9575433036446096,461.0,773.0,4.0,8762.0,0.7501077318693914,0.6090999708745634,0.702,1.0,0.08724282205431001,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,4,train,50,0.5,2,0.01,64,20,1,40,40,0,80,2.925861358642578,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.23305003932714463,0.23305003932714463,0.9292,0.9292,0.9292,0.9256285653919291,0.999543691535478,0.9611671785870997,530.0,704.0,4.0,8762.0,0.7803573449496584,0.6244054658892737,0.734,1.0,0.07854527356881508,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,5,train,50,0.5,2,0.01,64,20,1,50,50,0,100,3.5385422706604004,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.24119394197463992,0.2411939419746399,0.93,0.9299999999999999,0.93,0.9264115034891097,0.999543691535478,0.9615891132572432,538.0,696.0,4.0,8762.0,0.7837224845565496,0.6269400173395235,0.732,1.0,0.07823554179527359,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,6,train,50,0.5,2,0.01,64,20,1,60,60,0,120,4.143345355987549,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.2200869558751583,0.2200869558751583,0.9353,0.9353000000000001,0.9353,0.931632110579479,0.999543691535478,0.9643938143195201,591.0,643.0,4.0,8762.0,0.805324299177256,0.6388561533823679,0.748,1.0,0.07243003520639762,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,7,train,50,0.5,2,0.01,64,20,1,70,70,0,140,4.741991758346558,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.22186714407801622,0.22186714407801628,0.9357,0.9357000000000001,0.9357,0.9320285076055739,0.999543691535478,0.9646061540155226,595.0,639.0,4.0,8762.0,0.8069075505484051,0.639673464640712,0.748,1.0,0.07208127357365435,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,8,train,50,0.5,2,0.01,64,20,1,80,80,0,160,5.348926782608032,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.21801193281412123,0.21801193281412123,0.9387,0.9387000000000001,0.9387,0.9350122719026784,0.999543691535478,0.9662016871588466,625.0,609.0,4.0,8762.0,0.8185812515235993,0.6464022786788596,0.752,1.0,0.06924528864839831,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,9,train,50,0.5,2,0.01,64,20,1,90,90,0,180,5.950651168823242,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.19222662323117257,0.19222662323117257,0.9413,0.9413000000000002,0.9413,0.9376136971642589,0.999543691535478,0.9675887582132405,651.0,583.0,4.0,8762.0,0.8284211657662286,0.6520578895126119,0.766,1.0,0.06637552259681274,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,10,train,50,0.5,2,0.01,64,20,1,100,100,0,200,6.55790638923645,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.18272027854323386,0.18272027854323386,0.9421,0.9421000000000002,0.9421,0.9384170504444682,0.999543691535478,0.9680163508810694,659.0,575.0,4.0,8762.0,0.8313987922038453,0.6536971486149918,0.768,1.0,0.06558803244495141,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,11,train,50,0.5,2,0.01,64,20,1,110,110,0,220,7.15816855430603,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.19645031265020368,0.1964503126502037,0.9419,0.9419000000000002,0.9419,0.9382160830924082,0.999543691535478,0.967909417288042,657.0,577.0,4.0,8762.0,0.8306565556097203,0.653290645373691,0.766,1.0,0.06588011839697921,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,12,train,50,0.5,2,0.01,64,20,1,120,120,0,240,7.745935678482056,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.19491809026002888,0.19491809026002885,0.9424,0.9424000000000001,0.9424,0.9387186629526463,0.999543691535478,0.9681767955801105,662.0,572.0,4.0,8762.0,0.8325094504216342,0.654330418832562,0.766,1.0,0.06547854610481206,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,13,train,50,0.5,2,0.01,64,20,1,130,130,0,260,8.341508865356445,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.17725193696022035,0.17725193696022035,0.9444,0.9444000000000001,0.9444,0.9407343783551643,0.999543691535478,0.9692477876106195,682.0,552.0,4.0,8762.0,0.8398322271386431,0.6578634125538774,0.778,1.0,0.06251271870587616,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,14,train,50,0.5,2,0.01,64,20,1,140,140,0,280,8.94247841835022,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.1939389340698719,0.1939389340698719,0.9436,0.9436000000000002,0.9436,0.9398326898326899,0.9996577686516085,0.9688225538971807,673.0,561.0,3.0,8763.0,0.8367672978909988,0.6564148911685013,0.77,1.0,0.06413298683205079,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,15,train,50,0.5,2,0.01,64,20,1,150,150,0,300,9.550145387649536,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.16947281513214113,0.1694728151321411,0.9462,0.9461999999999999,0.9462,0.9424607442460744,0.9996577686516085,0.9702170062001771,699.0,535.0,3.0,8763.0,0.846162222108353,0.6613035667668044,0.784,1.0,0.06064288911323403,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,16,train,50,0.5,2,0.01,64,20,1,160,160,0,320,10.166316270828247,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.18275083417892457,0.18275083417892457,0.9452,0.9452000000000002,0.9452,0.9414482165878814,0.9996577686516085,0.9696802036073918,689.0,545.0,3.0,8763.0,0.8425763427175069,0.6591539360342773,0.78,1.0,0.06168435782270898,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,17,train,50,0.5,2,0.01,64,20,1,170,170,0,340,10.752352476119995,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.21450592572093014,0.2145059257209301,0.9437,0.9437,0.9437,0.9396505520420195,1.0,0.96888643271622,671.0,563.0,0.0,8766.0,0.836674187486719,0.6563074844180895,0.77,1.0,0.06450821653091952,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,18,train,50,0.5,2,0.01,64,20,1,180,180,0,360,11.352711200714111,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.2030880238801241,0.2030880238801241,0.9445,0.9445,0.9445,0.9404570325072417,1.0,0.9693149776082269,679.0,555.0,0.0,8766.0,0.8395973738014998,0.6576249625735462,0.776,1.0,0.06319770565455678,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,19,train,50,0.5,2,0.01,64,20,1,190,190,0,380,11.983580350875854,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.16645836245417595,0.16645836245417595,0.9471,0.9471,0.9471,0.9435648896068929,0.9994296144193475,0.970694144368733,710.0,524.0,5.0,8761.0,0.849636451353171,0.6637991322240021,0.784,1.0,0.060018247225323056,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,20,train,50,0.5,2,0.01,64,20,1,200,200,0,400,12.631245136260986,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.1978955894559622,0.19789558945596217,0.9456,0.9456000000000001,0.9456,0.9415682062298604,1.0,0.9699048462049126,690.0,544.0,0.0,8766.0,0.8435802817303149,0.6596615243779611,0.78,1.0,0.06178219808326667,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,21,train,50,0.5,2,0.01,64,20,1,210,210,0,420,13.337752103805542,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.17824181587398052,0.17824181587398052,0.9471,0.9471,0.9471,0.9431830409986011,0.9998859228838695,0.9707071266404563,706.0,528.0,1.0,8765.0,0.8490835993841128,0.663221646073745,0.784,1.0,0.06034393092929892,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,22,train,50,0.5,2,0.01,64,20,1,220,220,0,440,14.214323282241821,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.16575294243693353,0.1657529424369335,0.9472,0.9471999999999998,0.9472,0.9436665230504093,0.9994296144193475,0.9707479224376732,711.0,523.0,5.0,8761.0,0.8499893458342211,0.6640594846306248,0.784,1.0,0.06017108940346683,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,23,train,50,0.5,2,0.01,64,20,1,230,230,0,460,15.05573320388794,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.2066115253895521,0.2066115253895521,0.9452,0.9452,0.9452,0.9411638393815761,1.0,0.9696902654867257,686.0,548.0,0.0,8766.0,0.8421367994100295,0.6589736726127096,0.78,1.0,0.0621494971821977,10000.0,0.0,0.0,0.5,1.0,10
fedavg,unsw_nb15,42,24,train,50,0.5,2,0.01,64,20,1,240,240,0,480,15.893492698669434,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.1625828715801239,0.1625828715801239,0.9478,0.9478000000000002,0.9478,0.9440853264382676,0.9996577686516085,0.9710771276595744,715.0,519.0,3.0,8763.0,0.8518295474363446,0.6649174374860893,0.786,1.0,0.059608388671394216,10000.0,0.0,0.0,0.5,1.0,10
