method,dataset,seed,round,phase,total_rounds,client_frac,local_epochs,lr,batch_size,num_clients,k_config,model_downloads,model_uploads,assignment_model_evals,model_transmissions,runtime_sec,split_file,client_avg_loss,sample_avg_loss,acc,client_avg_acc,micro_acc,precision,recall,f1,tn,fp,fn,tp,global_macro_f1,client_avg_macro_f1,worst_client_acc,best_client_acc,acc_std,num_eval_samples,ari,nmi,purity,k_pred,num_selected_clients,cluster_sizes,num_empty_clusters,updated_clusters,assignment_split,center_init,eval_assign_all
ifca,unsw_nb15,42,1,warmup,50,0.5,2,0.01,64,20,2,10,10,0,20,1.0121145248413086,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.32288999621868136,0.3228899962186813,0.8766,0.8766,0.8766,0.8766,1.0,0.934242779494831,0.0,1234.0,0.0,8766.0,0.4671213897474155,0.46379353561940784,0.5,1.0,0.14212684475495824,10000.0,0.0,0.0,0.5,1.0,10,[20],0,,,,
ifca,unsw_nb15,42,2,warmup,50,0.5,2,0.01,64,20,2,20,20,0,40,1.6615526676177979,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.2570801802873611,0.2570801802873611,0.9216,0.9216000000000001,0.9216,0.9182561307901907,0.999543691535478,0.9571771902993227,454.0,780.0,4.0,8762.0,0.7469101081520254,0.607738722028638,0.698,1.0,0.0882917889727012,10000.0,0.0,0.0,0.5,1.0,10,[20],0,,,,
ifca,unsw_nb15,42,3,warmup,50,0.5,2,0.01,64,20,2,30,30,0,60,2.37971830368042,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.2702600853681564,0.27026008536815643,0.9223,0.9223000000000001,0.9223,0.9189302569480859,0.999543691535478,0.9575433036446096,461.0,773.0,4.0,8762.0,0.7501077318693914,0.6090999708745634,0.702,1.0,0.08724282205431001,10000.0,0.0,0.0,0.5,1.0,10,[20],0,,,,
ifca,unsw_nb15,42,4,warmup,50,0.5,2,0.01,64,20,2,40,40,0,80,3.0360913276672363,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.23305003932714463,0.23305003932714463,0.9292,0.9292,0.9292,0.9256285653919291,0.999543691535478,0.9611671785870997,530.0,704.0,4.0,8762.0,0.7803573449496584,0.6244054658892737,0.734,1.0,0.07854527356881508,10000.0,0.0,0.0,0.5,1.0,10,[20],0,,,,
ifca,unsw_nb15,42,5,warmup,50,0.5,2,0.01,64,20,2,50,50,0,100,3.7065467834472656,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.24119394197463992,0.2411939419746399,0.93,0.9299999999999999,0.93,0.9264115034891097,0.999543691535478,0.9615891132572432,538.0,696.0,4.0,8762.0,0.7837224845565496,0.6269400173395235,0.732,1.0,0.07823554179527359,10000.0,0.0,0.0,0.5,1.0,10,[20],0,,,,
ifca,unsw_nb15,42,6,clustered,50,0.5,2,0.01,64,20,2,60,60,100,220,4.789692401885986,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.14834275872707367,0.14834275872707367,0.9433,0.9433,0.9433,0.9396246648793566,0.999543691535478,0.9686584489525178,671.0,563.0,4.0,8762.0,0.8358221527109367,0.6560054121787458,0.772,1.0,0.06459806498649939,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,7,clustered,50,0.5,2,0.01,64,20,2,70,70,160,300,5.692752122879028,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.1343471949338913,0.1343471949338913,0.9473,0.9473,0.9473,0.9437681783906064,0.9994296144193475,0.9708017064657322,712.0,522.0,5.0,8761.0,0.8503419091016513,0.6637837141750815,0.788,1.0,0.059947560417418146,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,8,clustered,50,0.5,2,0.01,64,20,2,80,80,220,380,6.608398199081421,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.12789927018806338,0.12789927018806338,0.9478,0.9478,0.9478,0.9442767837896098,0.9994296144193475,0.9710707160274884,717.0,517.0,5.0,8761.0,0.8520997751916584,0.6646336936232349,0.79,1.0,0.059265166835165486,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,9,clustered,50,0.5,2,0.01,64,20,2,90,90,280,460,7.535200834274292,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.1165778038278222,0.11657780382782221,0.9468,0.9468,0.9468,0.9448886967797709,0.9974903034451289,0.9704772475027746,724.0,510.0,22.0,8744.0,0.8508951894079531,0.6636933930248035,0.788,1.0,0.06001799730080968,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,10,clustered,50,0.5,2,0.01,64,20,2,100,100,340,540,8.441560745239258,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.12231476154103875,0.12231476154103875,0.9472,0.9472000000000002,0.9472,0.944336569579288,0.998631074606434,0.9707252162341983,718.0,516.0,12.0,8754.0,0.8509430561822722,0.6638858323286737,0.788,1.0,0.05978762413744168,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,11,clustered,50,0.5,2,0.01,64,20,2,110,110,400,620,9.330361366271973,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.12774984388947488,0.12774984388947486,0.9476,0.9476000000000001,0.9476,0.9443605779598878,0.999087383070956,0.9709534368070953,718.0,516.0,8.0,8758.0,0.8518032490157925,0.6645395401334839,0.788,1.0,0.05961409229368504,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,12,clustered,50,0.5,2,0.01,64,20,2,120,120,460,700,10.262743949890137,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.11275988485217095,0.11275988485217095,0.9467,0.9467000000000001,0.9467,0.9464266348552218,0.9955509924709104,0.970367487629955,740.0,494.0,39.0,8727.0,0.8527942753599352,0.6645412071815845,0.794,1.0,0.05926643232049655,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,13,clustered,50,0.5,2,0.01,64,20,2,130,130,520,780,11.16460657119751,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.11680691994130613,0.11680691994130611,0.9471,0.9471,0.9471,0.9454840454299621,0.9971480720967374,0.9706290600188774,730.0,504.0,25.0,8741.0,0.8523331323221586,0.6645526729362192,0.794,1.0,0.059283977599348024,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,14,clustered,50,0.5,2,0.01,64,20,2,140,140,580,860,12.051616668701172,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.11189457997530698,0.11189457997530698,0.9475,0.9475,0.9475,0.9463763405914852,0.9965776865160849,0.970828471411902,739.0,495.0,30.0,8736.0,0.8543608158357563,0.6655694630686121,0.794,1.0,0.05872265320981332,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,15,clustered,50,0.5,2,0.01,64,20,2,150,150,640,940,12.97765326499939,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.11430497660413386,0.11430497660413384,0.9473,0.9473,0.9473,0.9460747157552788,0.9966917636322153,0.9707238486750736,736.0,498.0,29.0,8737.0,0.8535460163835598,0.66503822433989,0.794,1.0,0.058812498671625905,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,16,clustered,50,0.5,2,0.01,64,20,2,160,160,700,1020,13.889999628067017,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.11727014367207884,0.11727014367207884,0.9481,0.9480999999999999,0.9481,0.9458319818358741,0.997946611909651,0.9711906744379684,733.0,501.0,18.0,8748.0,0.8548648586295635,0.6662086490970293,0.792,1.0,0.05860196242447857,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,17,clustered,50,0.5,2,0.01,64,20,2,170,170,760,1100,14.801182508468628,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.12158595875445755,0.12158595875445753,0.9482,0.9482000000000002,0.9482,0.9451640759930915,0.9988592288386949,0.9712701053799223,726.0,508.0,10.0,8756.0,0.854162971471687,0.6661454789575945,0.792,1.0,0.0589810138943033,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,18,clustered,50,0.5,2,0.01,64,20,2,180,180,820,1180,15.68357253074646,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.1176553674908355,0.1176553674908355,0.9485,0.9484999999999999,0.9485,0.9460482214293437,0.9981747661419119,0.9714127116291978,735.0,499.0,16.0,8750.0,0.8559834339002412,0.6669213100740752,0.794,1.0,0.05820953530135761,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,19,clustered,50,0.5,2,0.01,64,20,2,190,190,880,1260,16.581082344055176,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.11848862199019641,0.11848862199019641,0.9487,0.9487,0.9487,0.9461563412260785,0.9982888432580425,0.9715237302248126,736.0,498.0,15.0,8751.0,0.8565427215355801,0.6671853778685695,0.794,1.0,0.0580043963851017,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,20,clustered,50,0.5,2,0.01,64,20,2,200,200,940,1340,17.49879550933838,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.12236268405113371,0.1223626840511337,0.9484,0.9484000000000001,0.9484,0.9455605962410888,0.998631074606434,0.9713715046604527,730.0,504.0,12.0,8754.0,0.8551189507107932,0.666640539351826,0.794,1.0,0.05852384129566342,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,21,clustered,50,0.5,2,0.01,64,20,2,210,210,1000,1420,18.398020029067993,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.10889193438701332,0.10889193438701332,0.9472,0.9471999999999999,0.9472,0.9463589076723017,0.9962354551676934,0.9706568856285428,739.0,495.0,33.0,8733.0,0.8537232583676113,0.6651075048577907,0.794,1.0,0.058894481914692126,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,22,clustered,50,0.5,2,0.01,64,20,2,220,220,1060,1500,19.27832007408142,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.10605660092495384,0.10605660092495382,0.9477,0.9477,0.9477,0.9481352614983146,0.9947524526579968,0.9708845961142348,757.0,477.0,46.0,8720.0,0.8570672366923653,0.6669180449542012,0.794,1.0,0.0583687416345427,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,23,clustered,50,0.5,2,0.01,64,20,2,230,230,1120,1580,20.169591903686523,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.1155890559080988,0.11558905590809881,0.9488,0.9488000000000001,0.9488,0.9461621621621622,0.9984029203741729,0.9715808170515098,736.0,498.0,14.0,8752.0,0.8567581504612387,0.6674597031762242,0.794,1.0,0.058101290863456716,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,24,clustered,50,0.5,2,0.01,64,20,2,240,240,1180,1660,21.040778875350952,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.11643404930001122,0.11643404930001125,0.9489,0.9489000000000001,0.9489,0.9463609819400887,0.9982888432580425,0.971631599400433,738.0,496.0,15.0,8751.0,0.857229991949839,0.6675921226250459,0.794,1.0,0.05787391467664857,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,25,clustered,50,0.5,2,0.01,64,20,2,250,250,1240,1740,21.90792489051819,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.12238939351700247,0.12238939351700247,0.9486,0.9486000000000001,0.9486,0.9458612491895396,0.9985169974903034,0.9714761376248613,733.0,501.0,13.0,8753.0,0.8559400890144508,0.6671545317334973,0.792,1.0,0.05849478609243732,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,26,clustered,50,0.5,2,0.01,64,20,2,260,260,1300,1820,22.802571296691895,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.10949843737343327,0.10949843737343326,0.9481,0.9480999999999999,0.9481,0.9472827855515783,0.9962354551676934,0.9711426188490409,748.0,486.0,33.0,8733.0,0.8567871903178207,0.6669517418270555,0.796,1.0,0.058108433122912535,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,27,clustered,50,0.5,2,0.01,64,20,2,270,270,1360,1900,23.70885419845581,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.10088097034767267,0.1008809703476727,0.9477,0.9477,0.9477,0.9508806476315501,0.9915582934063427,0.9707935444239683,785.0,449.0,74.0,8692.0,0.860456495097794,0.6684348894166526,0.796,1.0,0.05830703216594032,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,28,clustered,50,0.5,2,0.01,64,20,2,280,280,1420,1980,24.65566849708557,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.11778613111209124,0.11778613111209124,0.949,0.9490000000000001,0.949,0.946077371947266,0.9987451517225645,0.9716981132075472,735.0,499.0,11.0,8755.0,0.8570611778158947,0.6677495742308978,0.794,1.0,0.05801206771008941,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,29,clustered,50,0.5,2,0.01,64,20,2,290,290,1480,2060,25.607911586761475,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.11932878193864598,0.11932878193864599,0.9488,0.9488,0.9488,0.9461621621621622,0.9984029203741729,0.9715808170515098,736.0,498.0,14.0,8752.0,0.8567581504612387,0.6674888887973806,0.794,1.0,0.05812194077970899,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,30,clustered,50,0.5,2,0.01,64,20,2,300,300,1540,2140,26.5378634929657,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.10952005481654778,0.10952005481654778,0.9482,0.9481999999999999,0.9482,0.9474826388888888,0.9961213780515629,0.9711934156378601,750.0,484.0,34.0,8732.0,0.8572518118823592,0.667210152915316,0.794,1.0,0.05817525247044484,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,31,clustered,50,0.5,2,0.01,64,20,2,310,310,1600,2220,27.48882269859314,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.10892791865989566,0.10892791865989566,0.9487,0.9487,0.9487,0.947511115931027,0.9966917636322153,0.9714794017901818,750.0,484.0,29.0,8737.0,0.8583179423257914,0.6678391170814738,0.794,1.0,0.05779714525822187,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,32,clustered,50,0.5,2,0.01,64,20,2,320,320,1660,2300,28.416311502456665,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.10361291935173793,0.10361291935173794,0.9493,0.9493,0.9493,0.9491027732463295,0.9955509924709104,0.9717721730415901,766.0,468.0,39.0,8727.0,0.8615604366924479,0.6695748201109841,0.794,1.0,0.05733506780322142,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,33,clustered,50,0.5,2,0.01,64,20,2,330,330,1720,2380,29.30589723587036,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.10968686763020233,0.10968686763020233,0.9488,0.9488000000000001,0.9488,0.9470320623916811,0.9973762263289984,0.9715523947105233,745.0,489.0,23.0,8743.0,0.8579040694831338,0.6677161750356133,0.794,1.0,0.05782871259158376,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,34,clustered,50,0.5,2,0.01,64,20,2,340,340,1780,2460,30.2521231174469,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.10963337258147077,0.10963337258147075,0.9488,0.9488000000000001,0.9488,0.9473227834381097,0.9970339949806069,0.9715429079590929,748.0,486.0,26.0,8740.0,0.858281414138909,0.6677650800459946,0.794,1.0,0.05770060658260014,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
ifca,unsw_nb15,42,35,clustered,50,0.5,2,0.01,64,20,2,350,350,1840,2540,31.14193296432495,splits\unsw_nb15_fair20\unsw_nb15_dirichlet_explicit_clients20_train2000_test500_val0.2_seed42.json,0.10791312918914482,0.10791312918914482,0.9492,0.9492,0.9492,0.9477336803296464,0.9970339949806069,0.9717589504113854,752.0,482.0,26.0,8740.0,0.8596369304740823,0.6686357438109363,0.794,1.0,0.05740522624291275,10000.0,1.0,1.0,1.0,2.0,10,"[10, 10]",0,"[0, 1]",val,random_perturb,True
